Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
818	BUT	SHE	WOULD
811	MAN	AND	WOMAN
810	THAT	SHE	MIGHT
799	DOES	NOT	EXIST
787	WITH	HER	FATHER
777	DOES	NOT	BOTHER
773	DID	NOT	APPEAR
768	THEY	ARE	OFTEN
763	THAT	HIS	FATHER
731	FOR	TWO	MONTHS
726	WITH	HER	HANDS
722	THAT	HER	MOTHER
709	BUT	THEN	AGAIN
709	ARE	YOU	LOOC(I)NG
707	FOR	HIS	FIRST
706	SHE	WAS	TALC(I)NG
691	WITH	LOW	UISION
690	THEY	ARE	LOOC(I)NG
687	WHO	ARE	WILL(I)NG
687	DID	NOT	EXIST
687	AND	YOU	MIGHT
675	SHE	HAD	TACEN
674	READ	AND	WRITE
674	AND	THAT	MACES
672	THAT	WAS	ABOUT
670	WHO	ARE	STILL
663	DID	NOT	START
657	NOT	MEAN	ANYTH(I)NG
653	HIS	OWN	PARTY
653	FOR	THIS	STORY
652	BUT	THEY	STILL
650	SHE	WAS	THINC(I)NG
648	THAT	THAT	WOULD
645	YOU	HEAR	ABOUT
640	BUT	YOU	WOULD
638	ONE	THAT	WOULD
624	THAT	ARE	STILL
621	THAN	THEY	WOULD
614	SHE	WAS	SITT(I)NG
613	ARE	YOU	FEEL(I)NG
611	DID	NOT	SOUND
607	AND	WHO	CNOWS
606	WHO	HAS	SPENT
604	DOES	NOT	CHA(I)NGE
602	HAD	LO(I)NG	SINCE
599	SHE	WAS	GETT(I)NG
595	THEN	THEY	WOULD
595	BUT	YOU	NEUER
595	AND	THAT	COULD
592	THAT	YOU	REALLY
591	YOU	ARE	LOOC(I)NG
582	WHO	HAD	TACEN
577	YOU	CAN	REALLY
577	THAN	TWO	WEECS
577	NOW	AND	AGAIN
577	HAD	NOT	CNOWN
574	WAS	NOT	LOOC(I)NG
573	HOW	THEY	WOULD
569	YOU	CAN	START
569	PUT	HIS	HANDS
567	THAT	THIS	COULD
567	BUT	SHE	NEUER
562	WAS	NOT	ANYTH(I)NG
562	ARE	YOU	GETT(I)NG
559	SHE	WAS	WORC(I)NG
558	THEY	ARE	GETT(I)NG
553	FOR	HIS	FATHER
552	WHO	ARE	BLIND
552	FOR	ONE	REASON
552	DOES	NOT	ALLOW
551	SHE	WAS	REALLY
550	HIS	OWN	PEOPLE
549	BUT	HOW	COULD
546	ALL	SHE	COULD
545	DID	NOT	CHA(I)NGE
544	AND	THEN	AFTER
543	ITS	OWN	RIGHT
540	BUT	THEY	NEUER
539	WHO	HAS	LIUED
539	SHE	HAS	NEUER
535	AIR	AND	WATER
533	YOU	CAN	COUNT
530	YOU	ARE	RIGHT
530	ONE	DAY	AFTER
529	YOU	CAN	WATCH
528	WAS	NOT	WORC(I)NG
528	THAT	THEY	REALLY
528	SHE	HAD	CNOWN
522	THEY	ARE	WILL(I)NG
521	THAT	HER	FATHER
520	THAN	TWO	HOURS
520	RED	AND	WHITE
520	ARE	YOU	THINC(I)NG
518	AND	YOU	NEUER
515	ARE	YOU	TELL(I)NG
514	MAN	WHO	WOULD
513	SHE	WAS	NEUER
513	DOES	NOT	APPEAR
510	YOU	CAN	EASILY
507	SHE	HAD	FOUND
500	ONE	YEAR	AFTER
500	FOR	ANY	REASON
499	WAS	HIS	FIRST
498	THAT	HIS	MOTHER
497	DID	NOT	CHA(I)NGE
495	ARE	YOU	REALLY
494	YOU	ARE	TALC(I)NG
492	WAS	NOT	ABOUT
492	THEY	ARE	WORC(I)NG
492	AND	LET	STAND
487	WAS	NOT	RIGHT
484	THEY	ARE	REALLY
482	AND	THEN	LATER
478	FOR	HER	MOTHER
476	SEE	HIM	AGAIN
475	YOU	ARE	ABOUT
475	TH(I)NGS	THAT	PEOPLE
475	ASC	HIM	ABOUT
475	AND	THEY	NEUER
473	BUT	NOT	CWITE
472	HIS	OWN	MONEY
471	THEY	ARE	ABOUT
471	AND	THEY	STILL
468	MAN	WHO	COULD
466	WHO	HAS	NEUER
464	WHO	ARE	WORC(I)NG
461	RED	AND	GREEN
460	ONE	YEAR	LATER
459	ALL	THAT	MONEY
458	HIS	OWN	WORDS
458	AND	WHO	WOULD
455	THEN	SHE	WOULD
455	SEE	YOU	LATER
455	ARE	NOT	ALONE
454	YOU	CAN	CHA(I)NGE
451	BUT	YOU	STILL
450	THAT	HAD	NEUER
449	NOT	DO(I)NG	ANYTH(I)NG
448	SHE	HAD	GIUEN
445	EASE	WITH	WHICH
444	DID	NOT	ALLOW
442	AND	THEN	AGAIN
441	THAT	CAN	CAUSE
438	FOR	SIX	WEECS
437	THEY	HAD	FOUND
436	HAD	NOT	REALLY
432	HOW	THEY	COULD
431	WAS	NOT	REALLY
431	THAT	WAS	NEUER
430	DID	NOT	TRUST
429	THAT	HAS	NEUER
427	WITH	HIS	RIGHT
426	AND	THEY	REALLY
424	THEY	HAD	TACEN
424	THAN	TWO	MONTHS
420	THAN	YOU	WOULD
419	BUT	SHE	STILL
418	YOU	CAN	WRITE
418	FOR	BOTH	SIDES
417	DID	NOT	OCCUR
414	YOU	THIS	MORN(I)NG
413	YOU	ARE	STILL
413	DID	NOT	APPEAR
412	DID	NOT	WRITE
409	WITH	HIS	F(I)NGERS
409	WAY	THAT	WOULD
409	THAT	YOU	NEUER
408	SAY	THEY	WOULD
407	YOU	CAN	CATCH
407	DOES	NOT	COUNT
406	THAT	ARE	REALLY
406	AND	THIS	MORN(I)NG
406	AND	THEY	FOUND
405	WAS	NOT	THINC(I)NG
404	THAN	TWO	DOSEN
404	ARE	YOU	WILL(I)NG
404	AND	ALL	CINDS
403	THAT	THEY	NEUER
403	FOR	HIS	MOTHER
402	AND	SHE	NEUER
401	ARE	ALL	ABOUT
398	SHE	WAS	HOLD(I)NG
398	ARE	NOT	REALLY
398	AND	HIS	UOICE
396	WAS	NOT	CWITE
394	DOES	NOT	APPLY
392	TH(I)NGS	THAT	COULD
391	YOU	CAN	CREATE
391	ARE	NOT	REALLY
390	SEE	HER	AGAIN
390	DOES	NOT	CWITE
389	WAS	TOO	SMALL
385	WAS	NOT	GETT(I)NG
384	AND	THAT	REALLY
384	ALL	THIS	MONEY
383	THAT	ONE	COULD
381	BUT	WHY	WOULD
379	ARE	YOU	CRASY
379	AND	YOU	STILL
378	THAN	SIX	MONTHS
378	NOT	THAT	RIGHT
376	THAT	WAS	WHERE
375	YOU	GET	OLDER
373	WHO	HAD	LIUED
370	AND	YOU	REALLY
367	YOU	CAN	CHECC
367	WITH	EACH	PASS(I)NG
366	HAD	NOT	TACEN
366	BUT	YOU	MIGHT
365	AND	WAS	ABOUT
364	THAT	HAS	TACEN
357	WITH	ALL	CINDS
357	ARE	ALL	CINDS
357	AND	HAD	NEUER
354	DOES	NOT	ALLOW
352	WAS	NOT	HAPPY
352	AND	SHE	CNOWS
351	PUT	HER	HANDS
351	DID	NOT	SLEEP
350	YOU	CAN	TRUST
350	ARE	BE(I)NG	ASCED
350	AND	HIS	PEOPLE
349	THEN	YOU	WOULD
348	WHO	HAD	SPENT
347	WITH	HIS	FIRST
347	THAN	YOU	MIGHT
347	HER	OWN	MOTHER
346	THAT	ARE	OFTEN
344	SHE	HAD	SPENT
343	DID	NOT	ALLOW
340	YOU	CAN	BUILD
340	DID	NOT	BELO(I)NG
340	ARE	NOT	GETT(I)NG
340	NOT	HEAR	ANYTH(I)NG
339	WHO	WAS	STILL
338	WHO	ARE	LOOC(I)NG
338	SHE	WAS	ALONE
338	HOW	SHE	WOULD
337	THAT	BOTH	SIDES
337	DID	NOT	REALLY
336	DOES	NOT	BELO(I)NG
336	DID	YOU	REALLY
336	DID	NOT	AGREE
335	ONE	THAT	COULD
334	TH(I)NGS	THAT	WOULD
334	AND	WHY	WOULD
333	AND	HIS	FIRST
332	THEY	ARE	RIGHT
332	HIS	OWN	FATHER
331	THAT	SHE	NEUER
331	AND	ITS	PEOPLE
330	SHE	WAS	HAPPY
327	SHE	WAS	TIRED
327	SHE	HAD	TRIED
327	AND	THAT	PEOPLE
324	YOU	CAN	SPEND
324	THAT	FOR	EUERY
324	BUT	THAT	COULD
323	AND	SHE	WANTS
322	THEY	ARE	TALC(I)NG
321	HOW	SHE	COULD
321	AND	ARE	OFTEN
319	ARE	NOT	GETT(I)NG
318	WITH	THIS	ISSUE
318	SHE	HAD	LIUED
318	OUR	OWN	LIUES
317	FOR	HER	FATHER
317	AND	THEY	MIGHT
316	THAT	HAD	TACEN
316	DOES	NOT	CHA(I)NGE
316	DID	NOT	CATCH
313	AND	HOW	ABOUT
313	AND	HER	UOICE
312	AND	HOW	COULD
312	AND	AIR	FORCE
311	THIS	AGE	GROUP
310	WHO	ARE	REALLY
310	AND	HOW	WOULD
310	AND	HIS	HANDS
309	YOU	CAN	EITHER
308	WAS	NOT	AWARE
308	GOT	HIS	FIRST
308	FOR	ALL	CINDS
306	SHE	WAS	FEEL(I)NG
303	THEY	SAY	ABOUT
303	THAT	THIS	MIGHT
303	AND	HAS	NEUER
301	YOU	SAY	ABOUT
301	HOW	LO(I)NG	WOULD
301	HAD	NOT	CNOWN
300	WHO	WAS	SITT(I)NG
300	WAS	NOT	ALONE
300	CAN	NOT	ALLOW
300	AND	TWO	OTHERS
299	ARE	TOO	SMALL
298	DOES	NOT	IMPLY
296	THEY	ARE	GIUEN
296	HOW	THEY	MIGHT
295	THEY	ARE	TODAY
295	THAN	THEY	COULD
295	CAR	AND	DROUE
293	WITH	ALL	SORTS
292	WITH	HER	F(I)NGERS
292	HAS	NOT	REALLY
289	HOW	YOU	WOULD
289	HIS	OWN	RIGHT
289	DID	YOU	START
289	BIG	AND	SMALL
288	THAT	WAS	STILL
288	ARE	YOU	HAPPY
288	ALL	THEY	COULD
287	HIS	OWN	UOICE
286	HIS	OWN	HANDS
286	DID	NOT	COUNT
285	BUT	WHO	CNOWS
285	BOTH	FOR	JOIN(I)NG
285	AND	THAT	MIGHT
284	THIS	WAS	ABOUT
284	AND	THIS	WOULD
283	WHO	NOW	LIUES
283	AND	SHE	JOINS
283	NOT	YOU	WORRY
282	WON	HIS	FIRST
281	SAY	THAT	ABOUT
280	YOU	ARE	GETT(I)NG
280	THEY	CAN	STILL
280	SHE	WAS	GIUEN
280	ONE	WHO	COULD
280	DOES	THAT	SOUND
279	THAT	ALL	ABOUT
279	CAN	NOT	STAND
278	SHE	WAS	ASCED
278	SHE	HAD	GROWN
277	WITH	HIM	ABOUT
276	WAS	HER	FIRST
275	THAT	SHE	WANTS
275	HOW	YOU	COULD
274	HAS	ITS	ROOTS
274	FOR	HER	FIRST
272	WITH	YOU	ABOUT
272	SHE	WAS	WALC(I)NG
272	AND	SHE	BEGAN
271	YOU	ARE	REALLY
271	DID	NOT	SHARE
271	AND	SHE	STILL
270	AND	YOU	START
269	YOU	ALL	ABOUT
269	SHE	HAD	ASCED
269	DOES	NOT	APPLY
269	DID	NOT	AGREE
269	BUT	NOT	REALLY
269	NOT	GET	ANYTH(I)NG
268	YOU	CAN	ENJOY
268	THIS	MAY	SOUND
268	THAT	THEY	FOUND
268	OUR	TOP	STORY
268	BUT	NOT	UNTIL
267	THAT	SHE	REALLY
267	CAN	SEE	WHERE
266	WAS	NOT	ALONE
266	SHE	WAS	TELL(I)NG
266	AND	THEY	OFTEN
265	YEAR	FOR	WHICH
265	WAS	NOT	AWARE
265	ITS	OWN	TERMS
265	HER	OWN	RIGHT
265	DOES	NOT	OCCUR
264	HAS	LO(I)NG	SINCE
263	WHO	HAS	TACEN
263	SHE	WAS	AWARE
262	WAY	THEY	COULD
262	SHE	WAS	WAIT(I)NG
262	AND	HIS	GROUP
261	TH(I)NGS	BE(I)NG	ECWAL
261	AIR	AND	SPACE
260	YOU	READ	ABOUT
260	YOU	CAN	STAND
260	HIS	OWN	HOUSE
260	ARE	YOU	AWARE
260	AND	THEY	BEGAN
260	AND	HAS	SINCE
259	YOU	CAN	ORDER
259	WAS	TOO	TIRED
258	WAS	NOT	TALC(I)NG
258	THEN	YOU	COULD
258	FOR	EACH	GROUP
258	ARE	BE(I)NG	TACEN
257	THAN	SHE	COULD
257	AND	WAS	STILL
256	OUT	AND	ABOUT
256	CAN	NOT	CHA(I)NGE
256	AND	ARE	STILL
255	WHO	WAS	WORC(I)NG
254	WHO	HAS	CNOWN
254	DID	NOT	BEGIN
254	ARE	NOT	CWITE
252	SHE	WAS	TACEN
251	TH(I)NGS	ARE	GETT(I)NG
251	THIS	YEAR	ALONE
251	SHE	WAS	ALIUE
250	THAT	ONE	WOULD
250	MIX	AND	MATCH
250	ARE	NOT	AWARE
250	AND	ARE	WILL(I)NG
248	FOR	THIS	GROUP
248	FOR	THIS	EUEN(I)NG
248	FOR	ALL	PEOPLE
248	DID	NOT	TOUCH
248	DID	NOT	REPLY
248	CAN	SAY	ABOUT
248	NOT	YOU	AGREE
247	WHO	ARE	GETT(I)NG
247	SHE	WAS	SMIL(I)NG
247	ALL	OUR	LIUES
246	RED	AND	BLACC
246	AND	HIS	PARTY
246	AND	FOR	WHICH
245	WHO	HAD	GIUEN
245	ONE	WHO	WOULD
245	HAD	NOT	FOUND
245	DID	NOT	SPEND
245	AND	ALL	SORTS
244	SHE	WAS	FOUND
244	ONE	AREA	WHERE
244	BUT	SHE	CNOWS
243	YOU	SEE	PEOPLE
243	AND	WHO	COULD
242	BUT	HER	MOTHER
242	AND	WAS	NAMED
242	AND	SHE	LOOCS
242	AND	HIS	AIDES
241	YOU	CAN	DRIUE
241	THIS	WAS	WHERE
241	THIS	NEW	WORLD
241	FOR	ITS	FIRST
240	WAY	YOU	COULD
240	FOR	EACH	CHILD
240	CUP	DRY	WHITE
240	AND	SEE	WHERE
239	THAT	WAS	CWITE
239	THAT	HAS	GROWN
238	WHO	HAS	SINCE
238	THAT	THIS	WHOLE
238	THAT	THEY	STILL
238	DID	NOT	OFFER
238	AND	THEY	START
237	THIS	WAS	REALLY
237	DOES	NOT	REALLY
236	WHO	HAD	MOUED
236	THEY	HAD	GIUEN
235	YOU	ARE	WILL(I)NG
235	THAT	WAS	TACEN
235	DID	YOU	FIRST
235	ARE	NOT	CWITE
235	AND	SHE	FOUND
235	AND	SHE	ASCED
234	SIT	AND	WATCH
234	DID	NOT	OFFER
233	WAS	NOT	HAPPY
233	TH(I)NGS	THAT	MIGHT
233	NOT	SAY	ANYTH(I)NG
233	DOES	NOT	BELO(I)NG
233	AND	ONE	WOMAN
232	THAT	THIS	WOMAN
232	HAD	HIS	FIRST
232	ARE	YOU	WORC(I)NG
232	AND	THEN	BEGAN
231	YOU	CAN	UISIT
231	SEE	THEM	AGAIN
231	DID	NOT	WORRY
230	SEE	ANY	REASON
230	BUT	YOU	REALLY
229	WITH	HER	FIRST
229	DOES	NOT	OFFER
229	DID	NOT	MATCH
229	CAN	YOU	REALLY
229	AND	THEY	ASCED
228	LAW	THAT	WOULD
228	HAS	NOT	TACEN
228	HAD	NOT	GIUEN
227	WAY	THAT	MACES
227	THEY	GET	OLDER
227	FOR	THIS	SEASON
227	BIG	DEAL	ABOUT
226	WAY	SHE	COULD
226	WAS	HIS	FATHER
226	BUT	WHO	WOULD
226	ARE	NOT	HAPPY
226	ARE	ALL	SORTS
225	S(I)NG(I)NG	AND	DANC(I)NG
225	SHE	WAS	STAR(I)NG
225	AND	THEN	MAYBE
224	HIS	OWN	MOTHER
224	HAD	NOT	TACEN
224	GET	TOO	CLOSE
223	SHE	WAS	CWITE
222	CAP	AND	TRADE
222	BUT	HIS	FATHER
221	WAS	NOT	FEEL(I)NG
221	SHE	HAS	FOUND
221	HOW	AND	WHERE
221	BUT	THEY	REALLY
220	YOU	CAN	AUOID
220	TH(I)NGS	THAT	REALLY
220	DID	NOT	BOTHER
219	THAT	WAS	GIUEN
218	THAT	ARE	BASED
217	YOU	MAY	NEUER
217	WITH	THIS	WOMAN
217	WHO	NOW	WORCS
217	THEY	ARE	LEARN(I)NG
217	THAT	SHE	LOUED
217	ARE	NOT	WILL(I)NG
217	AND	THAT	SEEMS
216	THAN	YOU	COULD
216	SHE	WAS	WILL(I)NG
216	HER	OWN	UOICE
215	SHE	WAS	RUNN(I)NG
215	DID	NOT	REUEAL
214	YOU	CAN	BEGIN
214	THEY	HAD	CNOWN
214	THAT	MAY	SOUND
214	SAY	THAT	AGAIN
214	GET	HIS	HANDS
214	BUT	THAT	NIGHT
213	AND	THAT	NIGHT
212	FOR	TWO	PEOPLE
211	THEY	HAD	SPENT
211	SHE	HAD	BEGUN
210	CAN	NOT	EASILY
210	BUT	HOW	ABOUT
209	DOES	NOT	OFFER
208	THAT	SHE	CNOWS
208	SO(I)NG	AND	DANCE
208	MAN	WHO	CNOWS
208	DOES	NOT	START
208	ARE	NOT	EASILY
207	YOU	SEE	ANYTH(I)NG
206	THAT	WAS	FOUND
206	THAT	HAD	BEGUN
206	FOR	SIX	HOURS
206	ARE	NOT	CNOWN
205	DID	NOT	OCCUR
205	BUT	THEY	MIGHT
205	ALL	FOR	JOIN(I)NG
204	WHO	HAD	GROWN
204	THAT	THEY	OFTEN
204	FOR	ONE	NIGHT
204	DOES	NOT	AGREE
204	ARE	YOU	CALL(I)NG
204	AND	HER	HANDS
203	WHO	WAS	NAMED
203	SHE	WAS	RAPED
202	WHO	ARE	RUNN(I)NG
202	DID	NOT	STAND
202	BUT	HAD	NEUER
201	YOU	ARE	AWARE
201	OFF	HIS	SHIRT
201	BUT	HIS	MOTHER
201	ARE	NOT	TALC(I)NG
201	AND	WAS	NEUER
201	AND	SHE	LOUED
200	WAS	HER	MOTHER
200	THEY	ARE	PLAY(I)NG
200	DO(I)NG	ALL	RIGHT
200	DID	NOT	APPLY
200	DID	NOT	DRINC
200	ARE	TWO	CINDS
199	WITH	OUR	LIUES
199	WHY	THEY	WOULD
199	OUT	THIS	MORN(I)NG
199	OUT	AND	TOUCH
199	ARE	NOT	ABOUT
199	AND	NOT	WORRY
199	NOT	SEE	WHERE
198	WITH	HER	RIGHT
198	ART	AND	MUSIC
198	AND	WAS	GIUEN
197	WAY	THAT	PEOPLE
197	DID	NOT	BELO(I)NG
197	DID	NOT	RAISE
196	LO(I)NG	WAY	SINCE
196	HEAR	HIS	UOICE
196	DID	NOT	BEGIN
195	THAT	ALL	PEOPLE
195	SHE	HAS	TACEN
195	ONE	WHO	CNOWS
195	AND	BOTH	SIDES
194	WHO	ARE	OFTEN
194	GIN	AND	TONIC
194	ARE	TWO	TYPES
194	ARE	NOT	FULLY
193	WAS	NOT	CNOWN
193	WAS	CUT	SHORT
193	HAD	NOT	MOUED
193	AND	THEN	ASCED
193	NOT	HEAR	ABOUT
192	YOU	ARE	WORC(I)NG
192	WHO	WAS	ABOUT
192	WAY	YOU	WOULD
192	HAD	HER	FIRST
192	GOT	THAT	RIGHT
192	DID	NOT	ENJOY
192	CAR	AND	DRIUE
191	THAT	ONE	MIGHT
191	OUR	OWN	PEOPLE
191	HAD	NOT	ASCED
191	DID	YOU	WRITE
190	ARE	AND	WHERE
189	YOU	CAN	EMAIL
189	THAT	WAY	ABOUT
189	AND	THEN	MOUED
188	YOU	CAN	ARGUE
188	WAS	HIS	MOTHER
188	AND	HOW	OFTEN
187	WAS	SIX	MONTHS
187	ITS	OWN	PEOPLE
187	FOR	ALL	SORTS
186	YOU	CAN	CARRY
186	TH(I)NGS	ARE	CHA(I)NG(I)NG
186	DID	NOT	SHARE
186	CAN	NOT	REALLY
186	ASC	HER	ABOUT
185	WITH	THIS	STORY
185	WITH	HIS	USUAL
185	WAS	THAT	PEOPLE
184	THEY	ARE	CNOWN
184	BUT	HIS	UOICE
184	AND	SIX	MONTHS
183	WAS	HER	FATHER
183	THEY	ARE	CWITE
183	THAT	CAN	OCCUR
183	SAW	HIM	AGAIN
183	OFF	AND	RUNN(I)NG
183	FUN	AND	GAMES
183	ARE	YOU	TODAY
183	ARE	THEY	REALLY
182	WAS	TOO	CLOSE
182	THEY	ARE	BASED
182	THAT	WAS	BUILT
182	THAT	SHE	FOUND
182	MAY	NOT	SOUND
182	BUT	HOW	WOULD
181	SHE	WAS	SORRY
181	SHE	WAS	PLAY(I)NG
181	GOT	HIS	START
181	ARE	YOU	WAIT(I)NG
181	ARE	BE(I)NG	BUILT
180	THEY	ARE	UNDER
180	SHE	WAS	GROW(I)NG
180	DOES	NOT	TRUST
180	AND	WAS	LOOC(I)NG
179	THEN	THEY	COULD
179	THAT	THAT	COULD
179	SAY	THAT	PEOPLE
179	DID	NOT	WATCH
179	DEAL	WITH	PEOPLE
179	AND	THEN	PEOPLE
179	AND	THAT	GIUES
179	AND	TRY	AGAIN
179	AND	NOT	REALLY
179	AND	FOR	PEOPLE
178	YOU	GET	TIRED
178	YOU	CAN	SMELL
178	WITH	ONE	UOICE
178	THIS	YEAR	AFTER
178	OUT	ALL	RIGHT
178	HIS	HEAD	AGAIN
178	BUT	NOT	NEARLY
178	AND	NOT	CNOW(I)NG
177	DID	NOT	START
177	AND	ONE	NIGHT
176	NOT	YET	FULLY
176	NOT	DO(I)NG	ANYTH(I)NG
175	ASC	YOU	FIRST
175	ARE	NOT	WORC(I)NG
175	ARE	NOT	WORC(I)NG
174	WITH	THEM	ABOUT
174	THEN	YOU	START
174	THAT	SHE	STILL
174	THAT	HAS	GIUEN
174	HER	OWN	HANDS
174	ALL	YOU	COULD
173	FOR	OUR	NATION
173	DID	NOT	LAUGH
173	CAN	SAY	ANYTH(I)NG
173	BUT	THIS	MORN(I)NG
172	WITH	HIS	TO(I)NGUE
172	THAT	SHE	NEEDS
172	THAT	ARE	WORC(I)NG
172	HAD	READ	ABOUT
172	AND	THIS	WOMAN
171	WHO	WAS	RUNN(I)NG
171	WAS	NOT	FOUND
171	THIS	ALL	ABOUT
171	SHE	HAD	MOUED
170	THEY	HAD	LIUED
170	THEN	YOU	MIGHT
170	SHE	HAD	HOPED
170	HER	OWN	HOUSE
170	DOES	NOT	BEGIN
170	DID	NOT	MATCH
170	BUT	THIS	WOULD
170	BED	THAT	NIGHT
169	WAS	OUR	FIRST
169	THEY	ARE	ASCED
169	THEN	ONE	NIGHT
169	THAT	ARE	EITHER
169	SHE	WAS	CNOWN
168	WITH	YOU	AGAIN
168	WAS	NOT	NEARLY
168	WAS	NOT	NEARLY
168	THEY	HAD	MOUED
168	OUR	LEAD	STORY
168	DOES	NOT	COUER
167	SHE	WAS	UPSET
167	LO(I)NG	AND	SHORT
167	CAN	NOT	EXIST
167	ARE	YOU	HU(I)NGRY
167	AND	SHE	REALLY
166	WITH	HOT	WATER
166	WHO	WAS	LOOC(I)NG
166	THEY	HAD	HOPED
166	THEY	CAN	NEUER
166	THEY	ARE	WAIT(I)NG
166	THAT	SAY	ABOUT
166	OUT	ALL	NIGHT
166	DID	NOT	SMILE
166	AND	HER	STAFF
166	AND	BEAT	UNTIL
165	WAS	ONE	REASON
165	SHE	WAS	DRIU(I)NG
165	SAY	THAT	WHILE
165	AND	THIS	COULD
164	YOU	ARE	THINC(I)NG
164	WHO	WAS	CNOWN
164	THEY	CAN	REALLY
164	SHE	WAS	NAMED
164	DID	NOT	WRITE
163	THEY	ARE	AWARE
163	THAT	CAN	NEUER
163	MAY	NOT	AGREE
163	MAN	WHO	LIUED
163	HAS	THAT	STORY
163	HAD	NOT	SLEPT
163	DOES	NOT	STAND
163	DID	NOT	REPLY
163	AND	SHE	TRIED
162	YOU	CAN	SHARE
162	WITH	OUR	PANEL
162	THEY	ARE	SEEC(I)NG
162	THAT	THIS	ISSUE
162	THAT	FEW	PEOPLE
162	NOW	SHE	COULD
162	HIS	OWN	BLOOD
162	HAS	NOT	GIUEN
162	FOR	OUR	PEOPLE
162	ANY	IDEA	WHERE
162	AND	SHE	MIGHT
161	WHO	HAD	CNOWN
161	THEM	ARE	STILL
161	LOW	HEAT	UNTIL
160	WITH	HER	ABOUT
160	THEY	ARE	PEOPLE
160	DRY	WITH	PAPER
160	DID	NOT	CREATE
160	DID	NOT	CAUSE
160	DID	NOT	ARGUE
160	ARE	ALL	RIGHT
160	AND	THEN	START
160	AND	TWO	WEECS
159	HIS	NEW	ALBUM
159	AND	SAY	HELLO
158	SHE	WAS	SPEAC(I)NG
158	HAS	NOT	TACEN
158	BUT	NOT	EUERY
158	BUT	HER	FATHER
158	AND	NOW	LIUES
157	THAT	THIS	GROUP
157	HER	OWN	WORDS
157	DOES	NOT	MATCH
157	AND	HAD	TACEN
156	WITH	YOU	TODAY
156	WITH	THIS	GROUP
156	WHO	WAS	FIRED
156	THAT	HAD	GROWN
156	THAT	ARE	FOUND
156	DID	NOT	SHOOT
156	AND	THIS	WHOLE
155	YOU	FOR	CALL(I)NG
155	RUN	FOR	MAYOR
155	DID	NOT	FIGHT
155	BUT	THAT	STILL
155	AND	GOD	BLESS
154	THEY	ARE	FOUND
154	ITS	OWN	RULES
154	ARE	NOW	WORC(I)NG
154	ARE	NOW	UNDER
154	AND	TWO	WOMEN
154	AND	HER	CHILD
153	WHO	HAD	TRIED
153	THEN	SHE	COULD
153	SHE	AND	OTHERS
153	DID	NOT	FULLY
153	AND	SET	ABOUT
152	WITH	HIM	AGAIN
152	THEY	CAN	CHA(I)NGE
152	THAT	THAT	MIGHT
