Count from total of 46030908 word 4-grams
155	REMOUE	FROM	OUEN	AND
16	WIDELY	HELD	UIEW	THAT
16	SHOULD	MACE	CLEAR	THAT
16	SHOULD	HAUE	THEIR	OWN
16	SHOULD	HAUE	GONE	OUT
16	SHOULD	HAUE	COME	OUT
16	SHIFTS	INTO	HIGH	GEAR
16	REPORT	ALSO	SAID	THAT
16	PASSED	DOWN	FROM	ONE
16	INCHES	AWAY	FROM	HER
16	ENOUGH	LEFT	OUER	FOR
16	CLOSED	THEIR	EYES	AND
16	BACCED	AWAY	FROM	HER
16	ANOTHER	DEEP	BREATH	AND
16	ALWAYS	CNEW	THERE	WAS
15	STAYED	AWAY	FROM	HIM
15	SOUNDS	LICE	WHAT	YOU
15	SOMETH(I)NG	WILL	COME	OUT
15	SHOULD	HAUE	SAID	WAS
15	ROLLED	THEIR	EYES	AND
15	ROLLED	OUER	ONTO	HER
15	DEUOTE	MORE	TIME	AND
15	CHOOSE	FROM	MORE	THAN
15	BETTER	HEALTH	CARE	FOR
15	BETTER	CNOW	WHAT	YOU
15	ALREADY	LOST	MORE	THAN
15	ALREADY	CNOW	WHAT	THEY
15	ALMOST	FOUR	YEARS	NOW
14	THROUGH	YOUR	NOSE	AND
14	SOMETH(I)NG	WENT	WRO(I)NG	AND
14	SHOULD	HAUE	MADE	THAT
14	SHOULD	HAUE	LEFT	HIM
14	SHOULD	ALSO	LOOC	FOR
14	MILLION	YEARS	FROM	NOW
14	MATTER	WHAT	THEIR	AGE
14	LITTLE	MORE	TIME	WITH
14	LITTLE	MORE	TIME	AND
14	LEADERS	HAUE	SAID	THAT
14	CALLED	BACC	OUER	HIS
14	ALWAYS	BEEN	THERE	AND
13	WALCED	AWAY	FROM	THIS
13	STATES	HAUE	THEIR	OWN
13	SLOWLY	MAC(I)NG	THEIR	WAY
13	SHOULD	HAUE	MADE	HIM
13	SHOULD	HAUE	GONE	FOR
13	SCREEN	DOOR	OPEN	AND
13	RETURN	FROM	LAST	YEAR
13	RECORD	WILL	SHOW	THAT
13	LOOCED	JUST	LICE	HIM
13	LITTLE	MORE	TIME	FOR
13	LEADERS	HAUE	SAID	THEY
13	FORMAL	DIN(I)NG	ROOM	AND
13	DONATE	THEIR	TIME	AND
13	DIFFER	FROM	THEIR	OWN
13	CLOSED	YOUR	EYES	AND
13	BROCEN	DOWN	INTO	ITS
13	BECOME	MORE	OPEN	AND
13	BACCED	AWAY	FROM	ITS
13	ANYONE	WILL	TELL	YOU
13	ALWAYS	MADE	SURE	THAT
13	ALWAYS	HAUE	BEEN	AND
13	ALWAYS	FEEL	LICE	YOU
13	ALWAYS	BEEN	TOLD	THAT
