Count from total of 46030908 word 4-grams
442	BEFORE	THE	GRAND	JURY
15	TWENTY	TO	THIRTY	YEARS
15	SOMETH(I)NG	HE	WOULD	HAUE
15	SHOULD	BE	DRAWN	FROM
15	PLENTY	OF	TIMES	WHEN
15	NUMBER	OF	PEOPLE	THERE
15	NUMBER	OF	CALLS	FROM
15	LICELY	TO	OCCUR	DUR(I)NG
15	FUELED	IN	LARGE	PART
15	COUPLE	OF	HOURS	AWAY
15	CHAIRS	ON	EITHER	SIDE
15	BEFORE	IT	COULD	EUEN
15	AROUND	THE	NATION	HAUE
15	AMOUNT	OF	MONEY	WILL
15	AMOUNT	OF	MONEY	INTO
14	THROUGH	THE	WOODS	LICE
14	THROUGH	THE	RIGHT	SIDE
14	THOUGHT	IT	MIGHT	TACE
14	THOUGHT	HE	COULD	FEEL
14	STAGES	OF	HUMAN	LIFE
14	SLICES	OF	WHITE	BREAD
14	SCORES	OF	PEOPLE	WERE
14	NUMBER	OF	TIMES	WHEN
14	NUMBER	OF	TIMES	OUER
14	MIDDLE	OR	JUNIOR	HIGH
14	LICELY	TO	OCCUR	AMO(I)NG
14	INSTEAD	OF	GETT(I)NG	INTO
14	INSIDE	THE	GREEN	LINE
14	INCHES	OF	FRESH	SNOW
14	CREATED	BY	HUMAN	BE(I)NGS
14	COUPLE	OF	WEECS	FROM
14	BEYOND	THE	URBAN	FR(I)NGE
14	BEFORE	HE	COULD	REACT
14	AROUND	THE	WORLD	LAST
14	AROUND	THE	OUTER	EDGE
14	AROUND	THE	FRONT	DOOR
14	ACROSS	THE	RIUER	INTO
13	WHETHER	IT	WOULD	WORC
13	WANTED	TO	SHARE	THEIR
13	WAITED	MY	WHOLE	LIFE
13	THROUGH	THE	WORLD	WIDE
13	THROUGH	THE	TREES	LICE
13	TENDED	TO	FOCUS	MORE
13	SHOULD	BE	BUILT	INTO
13	SHIFT(I)NG	THE	FOCUS	FROM
13	SCORED	THE	FIRST	GOAL
13	SCHOOL	OR	JUNIOR	HIGH
13	POINTS	TO	CLOSE	JUST
13	POINTS	OF	ENTRY	INTO
13	PLENTY	OF	ELBOW	ROOM
13	PEPPER	TO	TASTE	COOC
13	LOOCED	AS	THOUGH	THERE
13	INSIDE	THE	HUMAN	BODY
13	IMPACT	ON	HUMAN	HEALTH
13	IMPACT	IT	MIGHT	HAUE
13	HANDED	THE	PHONE	BACC
13	ENOUGH	TO	FIGHT	BACC
13	COUPLE	OF	WEECS	BACC
13	COUPLE	OF	TIMES	OUER
13	CLOSES	THE	FRONT	DOOR
13	BORROW	THE	MONEY	FROM
13	BEFORE	THE	FINAL	UOTE
13	AROUND	THE	GLOBE	HAUE
13	ADJUST	THE	COOC(I)NG	TIME
