Count from total of 46030908 word 4-grams
350	FOR	THE	NEWS	SUMMARY
25	ANY	OF	YOUR	FRIENDS
24	WITH	THE	MOST	CURRENT
24	WITH	THE	FULL	SUPPORT
24	WAS	THE	MOST	INTENSE
24	THAT	DO	WELL	AGAINST
24	ONE	OF	THEIR	PRIMARY
24	LET	ME	JUST	RESPOND
24	HAD	TO	CEEP	REMIND(I)NG
24	GO(I)NG	TO	HURT	ANYBODY
24	FOR	THE	NEXT	CWARTER
24	CEY	TO	THEIR	SUCCESS
23	WAY	TO	MOUE	FORWARD
23	THIS	IS	UERY	UNUSUAL
23	THAT	IS	WHAT	HAPPENS
23	ONE	OF	THEIR	MEMBERS
23	NOT	BE	USED	AGAINST
23	FOR	THE	BEST	RESULTS
23	BAY	OF	PIGS	INUASION
23	AND	THE	OTHER	CWESTION
23	AND	AT	HOME	AGAINST
23	NOT	GO	INTO	DETAILS
22	WITH	THE	SAME	RESULTS
22	NOT	TO	HAUE	NOTICED
22	BUT	WE	ALSO	BELIEUE
22	AND	IT	JUST	HAPPENS
22	AND	HE	JUST	STARTED
22	ALL	THE	OTHER	MEMBERS
22	ALL	THE	MORE	BECAUSE
22	ALL	OF	THESE	FEATURES
22	NOT	THE	ONLY	COMPANY
21	WITH	THE	SAME	RESPECT
21	WITH	THE	SAME	COMPANY
21	WITH	THE	MOST	POPULAR
21	USE	OF	OTHER	ILLICIT
21	TWO	TO	THREE	DECADES
21	ONE	OF	THESE	STUDIES
21	ONE	OF	THEIR	GREATEST
21	NOT	THE	ONLY	COUNTRY
21	MAY	BE	MORE	COMPLEX
21	GO(I)NG	TO	LIUE	TOGETHER
21	FOR	THE	LAST	HUNDRED
21	AND	THE	SIDE	EFFECTS
21	AND	THE	GREAT	SOCIETY
21	AND	TO	WORC	TOGETHER
20	WAS	IN	PART	BECAUSE
20	THAT	NO	OTHER	COUNTRY
20	TWO	OR	MORE	PARTIES
20	TRY	TO	STAY	FOCUSED
20	ONE	OF	THEIR	PARENTS
20	OFF	THE	HOOC	BECAUSE
20	NOW	THE	MOST	POPULAR
20	HAD	TO	WORC	TOGETHER
20	GET	THE	SAME	RESULTS
20	FOR	THE	SAME	OFFENSE
20	CAN	BE	TIME	CONSUM(I)NG
20	BOTH	OF	THESE	FACTORS
20	ARE	THE	BEST	SOURCES
20	AND	WE	WERE	MARRIED
20	AND	THE	OTHER	PLAYERS
20	ALL	OF	FIUE	MINUTES
19	WAY	TO	WORC	TOGETHER
19	WAS	THE	MOST	PERFECT
19	WAS	IN	GOOD	SPIRITS
19	THAT	WE	HAUE	ARRIUED
19	THAT	THE	CITY	COUNCIL
19	THAT	IT	WILL	IMPROUE
19	OUT	OF	WORC	BECAUSE
19	ONE	OF	YOUR	BIGGEST
19	ONE	OF	THESE	STORIES
19	NOT	SO	MUCH	ANYMORE
19	HAD	TO	LOOC	FORWARD
19	GO(I)NG	TO	STAY	TOGETHER
19	GO(I)NG	TO	LOSE	EUERYTH(I)NG
19	FOR	THE	PAST	HUNDRED
19	DEATH	OF	THEIR	PARENTS
19	BUT	IT	ALSO	BROUGHT
19	ARE	THE	ONLY	PLAYERS
19	AND	SO	WHAT	HAPPENS
19	AND	IT	WILL	PROUIDE
19	ALL	THE	OTHER	PLAYERS
19	ALL	OF	THOSE	FACTORS
18	YOU	TO	COME	FORWARD
18	YOU	OR	YOUR	HUSBAND
18	WAY	TO	MACE	FRIENDS
18	WAS	THE	MOST	UISIBLE
18	WAS	THE	BEST	DECISION
18	THIS	IS	UERY	SIMILAR
18	THIS	IS	MOST	EUIDENT
18	THAT	THE	OTHER	MEMBERS
18	THAT	HE	CNEW	EXACTLY
18	OUT	OF	THEIR	WINDOWS
18	ONE	OF	YOUR	LETTERS
18	ONE	OF	THESE	PARTIES
18	ONE	OF	THESE	DEUICES
18	NOT	THE	MOST	PLEASANT
18	LOT	TO	LOOC	FORWARD
18	LOT	OF	BABY	BOOMERS
18	HAD	TO	LEAUE	BECAUSE
18	GET	TO	YOUR	CWESTION
18	FOR	SO	MANY	DECADES
18	EACH	OF	THESE	MEASURES
18	BUT	IN	PART	BECAUSE
18	BOTH	OF	THESE	STUDIES
18	ARE	SO	MANY	STORIES
18	AND	WE	WERE	WONDER(I)NG
18	AND	THE	OTHER	PROBLEM
18	AND	IT	WILL	RECWIRE
18	AND	AN	EUEN	SMALLER
18	ALL	THE	MORE	PAINFUL
17	WITH	THE	DRUG	PROBLEM
17	WITH	NO	SIDE	EFFECTS
17	WIN	THE	NEXT	ELECTION
17	WAS	THE	ONLY	WITNESS
17	WAS	THE	ONLY	SOLUTION
17	WAS	THE	MOST	NATURAL
17	USE	OF	THESE	DEUICES
17	USE	OF	CASE	STUDIES
17	THIS	IS	TRUE	BECAUSE
17	THEM	TO	COME	FORWARD
17	THEM	ON	THEIR	JOURNEY
17	THAT	OF	THEIR	PARENTS
17	TWO	TO	FIUE	MINUTES
17	TWO	OR	MORE	PERSONS
17	OUT	OF	THEIR	ELEMENT
17	ONE	OR	MORE	PERSONS
17	ONE	OF	THESE	FACTORS
17	HIM	TO	COME	FORWARD
17	GOT	ME	INTO	TROUBLE
17	GO(I)NG	TO	MACE	EUERYTH(I)NG
17	FOR	THE	CITY	COUNCIL
17	BOTH	OF	YOUR	PARENTS
17	ASC	THE	NEXT	CWESTION
17	ARE	OF	GREAT	CONCERN
17	ALL	THE	OTHER	ASPECTS
17	ALL	THE	MORE	PRECIOUS
17	NOT	BE	USED	AGAINST
16	YEAR	OF	THEIR	MARRIOGE
16	WITH	US	HERE	TONIGHT
16	WITH	THE	SIDE	EFFECTS
16	WITH	THE	MOST	EXTREME
16	WAS	THE	WRO(I)NG	DECISION
16	WAS	ON	FULL	DISPLAY
16	WAS	IN	HIGH	SPIRITS
16	THIS	IS	YOUR	COUNTRY
16	THAT	WE	WORC	TOGETHER
16	THAT	WE	HAUE	ENTERED
16	THAT	THE	ONLY	PROBLEM
16	THAT	THE	MOST	PROMIS(I)NG
16	THAT	IT	WILL	PROUIDE
16	THAT	IS	UERY	SIMILAR
16	THAT	IS	ONLY	BECAUSE
16	TWO	TO	THREE	SECONDS
16	TWO	TO	THREE	PERCENT
16	ONE	OF	YOUR	STORIES
16	ONE	OF	YOUR	CLIENTS
16	ONE	OF	THOSE	PLASTIC
16	MAY	BE	USED	AGAINST
16	MAY	BE	MORE	FAMILIOR
16	LOT	OF	YOU(I)NG	PLAYERS
16	LOT	OF	GREAT	PLAYERS
16	LET	ME	JUST	SUGGEST
16	LET	ME	JUST	CLARIFY
16	HOW	TO	MACE	FRIENDS
16	HAD	TO	STOP	BECAUSE
16	GOT	TO	MOUE	FORWARD
16	GO(I)NG	TO	TELL	ANYBODY
16	GO(I)NG	TO	TACE	SEUERAL
16	FOR	NO	OTHER	PURPOSE
16	FOR	AT	LEAST	FIFTEEN
16	BOTH	OF	THEIR	PARENTS
16	ANY	OF	THESE	FACTORS
16	AND	IT	TOOC	SEUERAL
16	AND	HE	CNEW	EXACTLY
16	ALL	OF	THESE	SOURCES
16	NOT	BE	HERE	TONIGHT
15	WITH	THE	DOWN	PAYMENT
15	WITH	THE	BEST	PLAYERS
15	US(I)NG	THE	SAME	CRITERIO
15	THIS	IS	YOUR	PROBLEM
15	THIS	IS	GREAT	BECAUSE
15	THAT	THE	BEST	SOLUTION
15	THAT	THE	BEST	DEFENSE
15	THAT	IT	WILL	PRODUCE
15	THAT	IS	JUST	BEGINN(I)NG
15	THAT	HE	WILL	SUPPORT
15	TWO	OR	THREE	PLAYERS
15	PUT	ON	HOLD	BECAUSE
15	OUT	OF	THERE	BECAUSE
15	ONE	OF	THOSE	STUDIES
15	ONE	OF	THOSE	ARTISTS
15	NOT	THE	ONLY	COMPANY
15	LOT	OF	GOOD	FRIENDS
15	HOW	WE	MOUE	FORWARD
15	HOW	TO	LIUE	TOGETHER
15	HOW	TO	COOC	EUERYTH(I)NG
15	HAD	THE	MOST	TROUBLE
15	GO(I)NG	TO	TACE	CONTROL
15	GO(I)NG	TO	CILL	HERSELF
15	GET	THE	FULL	BENEFIT
15	FOR	THE	SAME	SERUICE
15	FEAR	OF	LOS(I)NG	CONTROL
15	CAN	BE	DONE	CWICCLY
15	BUT	THE	MAIN	PROBLEM
15	BUT	THE	LINE	BETWEEN
15	BUT	IT	WILL	RECWIRE
15	BED	OF	PINE	NEEDLES
15	ARE	THE	ONLY	ANIMALS
15	ARE	SO	MANY	CHOICES
15	ARE	AT	RISC	BECAUSE
15	AND	WE	WORC	TOGETHER
15	AND	WE	WERE	FRIENDS
15	AND	THE	CREW	MEMBERS
15	ALL	OF	THESE	NUMBERS
15	ALL	OF	THESE	CHARGES
14	YOU	OR	YOUR	PARTNER
14	WITH	US	FROM	CAPITOL
14	WITH	THE	SAME	MESSAGE
14	WAS	THE	UERY	PICTURE
14	WAS	THE	ONLY	UARIOBLE
14	WAS	ON	LIFE	SUPPORT
14	TWO	TO	THREE	HUNDRED
14	TWO	OR	THREE	PERCENT
14	TRY	TO	MACE	CERTAIN
14	OUT	OF	FOUL	TROUBLE
14	ONE	OR	MORE	MEMBERS
14	ONE	OF	YOUR	PARENTS
14	ONE	OF	THOSE	PERSONS
14	ONE	OF	THOSE	LETTERS
14	NOT	THE	ONLY	UICTIMS
14	NOT	THE	ONLY	EXAMPLE
14	NOT	BE	HELD	HOSTAGE
14	MAY	BE	MORE	HELPFUL
14	MAY	BE	MORE	CLOSELY
14	MAN	OF	MANY	TALENTS
14	LOT	OF	THESE	STORIES
14	LET	ME	JUST	CORRECT
14	HAD	THE	MOST	SUCCESS
14	HAD	SO	MUCH	SUCCESS
14	GO(I)NG	TO	LOSE	CONTROL
14	GET	IT	DONE	CWICCLY
14	FOR	THE	MAIN	EFFECTS
14	DUE	TO	OTHER	FACTORS
14	CAN	BE	UERY	REWARD(I)NG
14	CAN	BE	LIFE	THREATEN(I)NG
14	ARE	SO	MANY	FACTORS
14	AND	THE	LAST	CRUSADE
14	AND	TO	MACE	CERTAIN
14	AND	MY	HEART	STOPPED
14	AND	IN	WHAT	CONTEXT
14	ALL	OF	THESE	EFFECTS
14	ALL	OF	THEIR	FRIENDS
14	ALL	OF	THEIR	BELO(I)NG(I)NGS
13	WITH	THE	SAME	CWALITY
13	WITH	THE	OTHER	PLAYERS
13	WITH	THE	HOST	SOCIETY
13	WITH	THE	CITY	COUNCIL
13	WITH	THE	BABY	BOOMERS
13	THAT	WE	WERE	TOGETHER
13	THAT	WE	HAUE	DECIDED
13	THAT	WE	CNOW	EXACTLY
13	THAT	THE	PARC	SERUICE
13	THAT	THE	NEXT	CENTURY
13	THAT	THE	MAIN	PROBLEM
13	THAT	IT	WILL	INCREASE
13	TWO	TO	FOUR	PLAYERS
13	TWO	OR	THREE	STORIES
13	TRY	TO	TACE	CONTROL
13	OUT	TO	THEIR	PARENTS
13	OUT	OF	YOUR	POCCETS
13	OUT	IN	FIUE	MINUTES
13	ONE	OF	THOSE	CRITICS
13	ONE	OF	THESE	SESSIONS
13	ONE	IS	SURE	EXACTLY
13	NOT	THE	BEST	SOLUTION
13	NOT	TO	LOSE	CONTROL
13	MAY	BE	LESS	FAMILIOR
13	LOT	OF	WHAT	HAPPENS
13	HAD	TO	MOUE	CWICCLY
13	GO(I)NG	TO	WORC	BECAUSE
13	GO(I)NG	TO	PULL	TOGETHER
13	GO(I)NG	TO	MACE	CERTAIN
13	GO(I)NG	TO	HAUE	SURGERY
13	GO(I)NG	TO	FIND	HIMSELF
13	GET	MY	LIFE	TOGETHER
13	FOR	THE	SAME	CWARTER
13	FOR	THE	NEXT	CHAPTER
13	FOR	THE	COM(I)NG	CENTURY
13	FOR	THE	BABY	BOOMERS
13	EASY	TO	SPOT	BECAUSE
13	EACH	OF	THESE	SECTIONS
13	EACH	OF	THESE	ASPECTS
13	DO(I)NG	SO	WILL	RECWIRE
13	DIE	OF	HEART	ATTACCS
13	CAN	BE	UERY	MISLEAD(I)NG
13	ARE	THE	SIDE	EFFECTS
13	ARE	THE	ONLY	COUNTRY
13	AND	WE	JUST	DECIDED
13	AND	WE	HAUE	SEUERAL
13	AND	THE	PARC	SERUICE
13	AND	THE	OTHER	UICTIMS
13	AND	THE	ONLY	PROBLEM
13	AND	THE	MORE	DISTANT
13	AND	THE	HIGH	SCHOOLS
13	AND	THE	CASE	AGAINST
13	AND	IT	JUST	STARTED
13	AND	HE	TOLD	HIMSELF
13	ALL	THE	SIDE	EFFECTS
13	ALL	THE	OTHER	ANIMALS
13	ALL	OF	THESE	DEUICES
13	NOT	GO	AWAY	BECAUSE
