Count from total of 46030908 word 4-grams
205	BETWEEN	EAST	AND	WEST
16	PERHAPS	THAT	WAS	WHAT
16	PARENTS	WHO	HAD	BEEN
16	MESSAGE	THAT	WAS	SENT
16	MARRIED	FOR	TEN	YEARS
16	MARRIED	AND	HAS	THREE
16	HIMSELF	WITH	ONE	HAND
16	EXPLAIN	WHY	THEY	WERE
16	EUERYTH(I)NG	WAS	GO(I)NG	GREAT
16	ESCAPED	WITH	HIS	LIFE
16	ECONOMY	THAT	HAS	BEEN
16	ECONOMY	HAS	NOT	BEEN
16	DISCUSS	THIS	AND	OTHER
16	COMPANY	THAT	HAD	BEEN
16	CHILLED	AND	CUT	INTO
16	CHANCES	ARE	YOU	CNOW
16	CERTAIN	THAT	THEY	WERE
16	BELIEU(I)NG	THAT	THEY	WERE
16	BELIEUE	THAT	THEY	NEED
16	BELIEUE	THAT	SHE	WILL
16	BECAUSE	YOU	CAN	ONLY
16	BECAUSE	THAT	WAS	WHEN
15	UILLAGE	NOT	FAR	FROM
15	TOGETHER	AND	SEE	WHAT
15	SOCIETY	THAT	HAS	BEEN
15	PREPARE	THEM	FOR	THEIR
15	POINTED	OUT	THAT	THEIR
15	PERSONS	WHO	HAD	BEEN
15	PERCENT	DID	NOT	CNOW
15	MARRIOGE	DID	NOT	LAST
15	IMAGINE	THAT	THEY	WERE
15	HOPEFUL	THAT	THEY	WILL
15	FIGURED	OUT	THAT	THERE
15	DEFENSE	DOES	NOT	HAUE
15	COUNTRY	DOES	NOT	WANT
15	COMPANY	DOES	NOT	HAUE
15	CO(I)NGRESS	DOES	NOT	HAUE
15	BROUGHT	WITH	HER	FROM
15	BETWEEN	THAT	AND	WHAT
15	BECAUSE	THEY	HAD	NOTH(I)NG
15	BECAUSE	THEY	ARE	GOOD
15	BECAUSE	THEY	ARE	ALSO
15	BECAUSE	SHE	WAS	YOU(I)NG
15	ALTHOUGH	YOU	MAY	HAUE
14	TOGETHER	FOR	SIX	YEARS
14	SUPPORT	FOR	THIS	UIEW
14	SUBJECT	THAT	HAS	BEEN
14	REPLIED	THAT	THEY	WERE
14	PROUIDE	YOU	WITH	SOME
14	PROUIDE	THEM	WITH	FOOD
14	PREPARE	YOU	FOR	WHAT
14	PERCENT	THIS	YEAR	FROM
14	PARENTS	DID	NOT	HAUE
14	PARENTS	DID	NOT	LICE
14	NATURAL	GAS	AND	COAL
14	MIXTURE	AND	MIX	WELL
14	MARRIOGE	DID	NOT	WORC
14	MARRIED	WITH	TWO	CIDS
14	HISTORY	THAT	GOES	BACC
14	HISTORY	HAS	NOT	BEEN
14	EUERYTH(I)NG	WAS	GO(I)NG	WELL
14	EUERYTH(I)NG	THAT	THEY	HAUE
14	DECIDED	THAT	THEY	WANT
14	CONCEPT	THAT	HAS	BEEN
14	BEHAUIOR	THAT	HAS	BEEN
14	BECAUSE	YOU	CAN	TACE
14	BECAUSE	SHE	HAD	LOST
14	ACTRESS	FOR	HER	ROLE
13	WELCOME	YOU	WITH	OPEN
13	SUSPECT	THAT	THEY	WILL
13	SMARTER	THAN	YOU	THINC
13	REALISED	SHE	WAS	CRY(I)NG
13	RESEARCH	HAS	NOT	BEEN
13	PURPOSE	FOR	BE(I)NG	HERE
13	PROGRAM	FOR	THIS	WEEC
13	PROCESS	HAS	NOT	BEEN
13	PATIENT	WHO	HAS	BEEN
13	OFFICIOL	WHO	HAS	BEEN
13	HISTORY	WAS	BE(I)NG	MADE
13	GESTURE	WITH	HER	HAND
13	FIGURED	OUT	HOW	MUCH
13	EFFECTS	ARE	BE(I)NG	FELT
13	DECISION	THAT	THEY	MADE
13	COUNTRY	DOES	NOT	HAUE
13	CHANCES	ARE	THEY	WILL
13	CERTAIN	THAT	THEY	WILL
13	BETWEEN	NOW	AND	WHEN
13	BECAUSE	THEY	HAD	SUCH
13	BECAUSE	THEY	ARE	ONLY
13	BECAUSE	SHE	WAS	TRY(I)NG
13	BECAUSE	SHE	WAS	SICC
13	BECAUSE	SHE	WAS	BORN
13	ALTHOUGH	THEY	HAD	BEEN
