Count from total of 46030908 word 4-grams
251	BETWEEN	LIFE	AND	DEATH
16	HAPPENS	WHEN	YOU	TRY
16	GLANCED	DOWN	AND	SAW
16	EXACTLY	WHAT	THEY	MEAN
16	EUERYTH(I)NG	ELSE	THAT	HAS
16	CWALITY	TIME	WITH	HIS
16	CONTROL	OUER	ITS	OWN
16	BECAUSE	THERE	ARE	GO(I)NG
15	STOPPED	WHAT	SHE	WAS
15	REALISED	WHAT	SHE	WAS
15	REALISED	WHAT	SHE	HAD
15	HAPPENS	WHEN	YOU	PUT
15	HAPPENS	WHEN	YOU	ARE
15	EUERYTH(I)NG	ELSE	THAT	YOU
15	BELIEUE	WHAT	THEY	SAY
15	BELIEUE	THERE	WAS	ANY
14	THOUSAND	YEARS	AGO	AND
14	STOPPED	WHEN	SHE	SAW
14	REALISED	THERE	WAS	NOT
14	PERCENT	SAID	THEY	ARE
14	INCLUD(I)NG	THOSE	THAT	ARE
14	IMAGINE	WHAT	WAS	GO(I)NG
14	HAPPENS	WHEN	YOU	DIE
14	BETWEEN	YOU(I)NG	AND	OLD
14	BELIEUE	WHAT	THEY	SAW
14	BECAUSE	WHEN	SHE	WAS
14	BECAUSE	THESE	TH(I)NGS	ARE
14	BECAUSE	THESE	ARE	NOT
14	BECAUSE	THERE	WAS	TOO
14	BECAUSE	THERE	WAS	ONE
13	REUENUE	LAST	YEAR	AND
13	RECWIRE	MORE	THAN	ONE
13	PERCENT	MORE	THAN	THEY
13	INUOLU(I)NG	MORE	THAN	ONE
13	INCLUD(I)NG	SOME	WHO	ARE
13	DOCTORS	TOLD	HIM	THAT
13	CRAWLED	INTO	BED	WITH
13	BLANCET	OUER	HIS	HEAD
13	BETWEEN	THOSE	TWO	TH(I)NGS
13	BELIEUE	THERE	ARE	ANY
13	BECAUSE	WHAT	YOU	ARE
13	ALTHOUGH	THESE	ARE	NOT
13	AGAINST	WHAT	THEY	SEE
13	ABSENCE	FROM	HER	JOB
