Count from total of 46030908 word 4-grams
1349	THANCS	FOR	BE(I)NG	WITH
30	THOUGH	THEY	HAD	NOT
30	THOUGH	THEY	ARE	NOT
30	STATE	HAS	ITS	OWN
30	SHOWS	THAT	THEY	ARE
30	RIGHT	NOW	AND	THEY
30	REASON	FOR	THAT	WAS
30	POINT	OUT	THAT	HIS
30	POCED	HER	HEAD	OUT
30	COULD	NOT	SEE	HIM
30	COULD	NOT	LET	THAT
29	WHERE	YOU	CAN	SIT
29	STUFF	THAT	DOES	NOT
29	REASON	THEY	DID	NOT
29	PEOPLE	THAT	YOU	CAN
29	FEEL(I)NG	THAT	YOU	ARE
29	COULD	NOT	SEE	THAT
29	AFTER	HIS	DEATH	AND
29	ABOUT	HOW	THEY	HAD
28	WOULD	NOT	SAY	HOW
28	WHICH	HAD	ITS	OWN
28	WHERE	YOU	CAN	PUT
28	WHERE	DID	SHE	GET
28	TURNS	OUT	THAT	YOU
28	SINCE	YOU	DID	NOT
28	SINCE	SHE	WAS	NOT
28	REASON	WHY	THEY	ARE
28	REASON	SHE	DID	NOT
28	REALLY	DID	NOT	MEAN
28	PEOPLE	WHO	ARE	TOO
28	FOUND	OUT	THAT	HIS
28	CWICC	AND	EASY	WAY
28	COULD	NOT	SAY	THAT
28	COULD	NOT	DEAL	WITH
28	COULD	NOT	GET	THAT
28	CHILD	WHO	DOES	NOT
28	ANYTH(I)NG	THAT	DID	NOT
28	AGREE	WITH	YOU	AND
27	WOULD	SAY	THAT	WAS
27	WOMEN	AND	ONE	MAN
27	WOMAN	WHO	WAS	NOT
27	WOMAN	WHO	DOES	NOT
27	WHILE	SHE	DID	NOT
27	WHICH	YOU	CAN	USE
27	WHICH	SHE	HAD	NOT
27	WHERE	YOU	CAN	HEAR
27	WHERE	THEY	CAN	SEE
27	WHERE	SHE	DID	NOT
27	UNTIL	YOU	CAN	GET
27	SORRY	FOR	HIM	AND
27	PROUE	THAT	THEY	CAN
27	MAYBE	SHE	HAD	NOT
27	FEEL(I)NG	THAT	SHE	HAD
27	CEEPS	GO(I)NG	AND	GO(I)NG
27	ADMIT	THAT	THEY	ARE
26	WOMAN	WHO	WAS	NOT
26	WHILE	SHE	AND	HER
26	WHICH	ONE	CAN	NOT
26	WHICH	HAD	NOT	YET
26	WHERE	YOU	CAN	SAY
26	WHERE	SHE	MET	HER
26	WHERE	SHE	GOT	HER
26	WHERE	ARE	YOU	OFF
26	SWEPT	HER	OFF	HER
26	COULD	NOT	SAY	HOW
26	COULD	NOT	LET	YOU
26	ADMIT	THAT	SHE	HAD
26	ABOUT	HOW	YOU	GOT
25	WOMEN	WHO	HAD	NOT
25	WOMEN	WHO	ARE	NOT
25	WHILE	SHE	WAS	DO(I)NG
25	WHICH	SHE	HAD	NOT
25	TURNS	HIS	HEAD	AND
25	SORRY	YOU	DID	NOT
25	SHOOC	HER	HEAD	WITH
25	RIGHT	NOW	AND	SEE
25	PROUE	THAT	YOU	CAN
25	POINT	OUT	THAT	NOT
25	PEOPLE	WHO	USE	THEM
25	PEOPLE	THAT	YOU	ARE
25	PEOPLE	CAN	SEE	THAT
25	GUESS	YOU	CAN	SAY
25	EUERY	DAY	AND	THAT
25	COULD	NOT	SEE	THEM
25	CNOW(I)NG	THAT	THIS	WAS
25	CNOW(I)NG	THAT	THEY	ARE
25	AWARE	THAT	THIS	WAS
25	ABOUT	GO(I)NG	OUT	AND
24	WROTE	THAT	SHE	WAS
24	WOULD	YOU	SAY	ARE
24	WOULD	NOT	SAY	THEY
24	WHICH	YOU	CAN	BUY
24	WHERE	THEY	ARE	BE(I)NG
24	WHERE	DID	YOU	SAY
24	WHERE	DID	YOU	PUT
24	UNTIL	THEY	CAN	GET
24	SINCE	THEY	DID	NOT
24	SHARE	THAT	WITH	YOU
24	PLACE	THAT	DOES	NOT
24	PEOPLE	WHO	RUN	THEM
24	PEOPLE	AND	LET	THEM
24	NOTED	THAT	THIS	WAS
24	NOTED	THAT	SHE	HAD
24	MONEY	DOES	NOT	MEAN
24	MIGHT	SAY	THAT	THIS
24	LOWER	THAN	THEY	ARE
24	LIUED	WITH	HIM	FOR
24	COULD	NOT	PAY	FOR
24	COULD	NOT	LET	THEM
24	CNOWN	THAT	THIS	WAS
24	CNOWN	THAT	SHE	WAS
24	CIUIL	WAR	THAT	HAS
24	BOTHER	YOU	THAT	YOU
24	BEGIN	WITH	YOU	AND
24	ASCED	WHY	SHE	WAS
24	AGREE	THAT	THEY	ARE
23	WOULD	YOU	ASC	HIM
23	WOULD	SAY	THEY	ARE
23	WOULD	SAY	SHE	WAS
23	WOULD	NOT	SEE	THAT
23	WORLD	THAT	YOU	CAN
23	WOMEN	WHO	CAN	NOT
23	WOMAN	WHO	DID	NOT
23	WHILE	THEY	DID	NOT
23	WHILE	THEY	ARE	NOT
23	WHERE	THEY	DID	NOT
23	WATER	AND	PAT	DRY
23	WATCH	OUT	FOR	HIM
23	THINC(I)NG	THAT	THIS	WAS
23	TURNS	OUT	SHE	WAS
23	TELL(I)NG	HIM	THAT	HIS
23	STORY	DOES	NOT	END
23	STORY	DOES	NOT	END
23	SHOWN	THAT	THEY	ARE
23	SHACE	HER	HEAD	AND
23	RIGHT	NOW	AND	YOU
23	POINT	OUT	THAT	ONE
23	PEOPLE	AND	HOW	THEY
23	PEOPLE	AND	GET	THEM
23	NEUER	HAD	ANY	IDEA
23	LOOC(I)NG	OUT	FOR	HIS
23	LOOC(I)NG	OUT	FOR	EACH
23	HUMAN	BE(I)NG	WHO	HAS
23	GUESS	SHE	DID	NOT
23	FOUND	OUT	THAT	THIS
23	FIELD	DAY	WITH	THIS
23	COULD	NOT	GET	ANY
23	COULD	NOT	PUT	HIS
23	CNOWS	THAT	THEY	ARE
23	BLACC	MAN	WHO	WAS
22	WOULD	NOT	PAY	FOR
22	WORCS	OUT	THAT	WAY
22	WHICH	SHE	WAS	NOT
22	WHERE	AND	HOW	THEY
22	UNTIL	YOU	SEE	THIS
22	THOUGH	THEY	HAD	NOT
22	THANC(I)NG	HIM	FOR	HIS
22	TELL(I)NG	HIM	THAT	SHE
22	SHOWS	THAT	YOU	CAN
22	SHARE	THEM	WITH	YOU
22	REASON	THAT	THEY	ARE
22	REALLY	NOT	ALL	THAT
22	PULLS	OUT	HIS	GUN
22	POINT	THAT	THEY	ARE
22	PEOPLE	WHO	CAN	GET
22	PEOPLE	WHO	ARE	FOR
22	FOUND	THAT	THIS	WAS
22	FOUND	THAT	THEY	ARE
22	CRIME	DOES	NOT	PAY
22	COULD	YOU	ASC	FOR
22	BLACC	MAN	WHO	HAD
22	ANYTH(I)NG	YOU	SAY	CAN
22	AGREE	WITH	THAT	AND
22	ABOUT	THIS	AND	THEY
22	ABOUT	DEATH	AND	DY(I)NG
21	WOULD	YOU	SAY	THIS
21	WOULD	NOT	SEE	HER
21	WOMEN	WHO	HAD	HAD
21	WOMEN	AND	MEN	WITH
21	WOMAN	WHO	HAS	NOT
21	WOMAN	AND	HER	TWO
21	WHILE	SHE	DOES	NOT
21	WHERE	DID	ALL	THAT
21	THOUGH	THAT	DID	NOT
21	TIMES	THAT	SHE	WAS
21	STILL	DOES	NOT	MEAN
21	SINCE	SHE	WAS	NOT
21	SENSE	THAT	YOU	ARE
21	SENSE	THAT	TH(I)NGS	ARE
21	REALLY	ARE	NOT	THAT
21	POINT	OUT	THAT	OUR
21	PEOPLE	DID	NOT	SEE
21	PEOPLE	AND	THEY	ARE
21	LOOC(I)NG	FOR	HIM	AND
21	EUERY	DAY	AND	THEY
21	EUERY	DAY	AND	SEE
21	COULD	SEE	NOW	THAT
21	COULD	NOT	SEE	ANY
21	COULD	NOT	SEE	WHO
21	CNOW(I)NG	THAT	YOU	ARE
21	ASCED	THEM	HOW	THEY
21	ADMIT	THAT	SHE	WAS
21	ABOUT	WHO	WAS	GO(I)NG
21	ABOUT	ALL	THIS	AND
20	WOULD	YOU	PAY	FOR
20	WOULD	NOT	SEE	THEM
20	WOULD	NOT	SEE	ANY
20	WOULD	NOT	LET	THAT
20	WORLD	THAT	DOES	NOT
20	WOMEN	WHO	ARE	DO(I)NG
20	WHICH	YOU	MAY	NOT
20	WHERE	YOU	ARE	NOT
20	TELLS	YOU	ALL	YOU
20	TELL(I)NG	HER	THAT	HER
20	SINCE	THEY	CAN	NOT
20	PLACE	YOU	CAN	GET
20	PEOPLE	WHO	ARE	ILL
20	PEOPLE	THAT	ARE	DO(I)NG
20	NOTION	THAT	THEY	ARE
20	NEEDS	ARE	BE(I)NG	MET
20	MOTHER	AND	HER	SON
20	LOOC(I)NG	FOR	THIS	GUY
20	JAPAN	THAT	CAN	SAY
20	ITEMS	THAT	ARE	NOT
20	HOPED	SHE	WAS	NOT
20	FOUND	OUT	WAS	THAT
20	COULD	SEE	HIM	NOW
20	COULD	NOT	SEE	YOU
20	AWARE	THAT	SHE	HAD
20	AFTER	SHE	WAS	DEAD
20	ABOUT	YOU	THAT	YOU
20	ABOUT	HIM	WAS	HIS
19	WOULD	YOU	DEAL	WITH
19	WOULD	PUT	THEM	OUT
19	WOULD	MEAN	THAT	YOU
19	WORLD	THAT	THEY	ARE
19	WOMAN	WHO	HAS	HAD
19	WHILE	THIS	WAS	GO(I)NG
19	WHICH	SHE	WAS	NOT
19	WHICH	DOES	NOT	MEAN
19	WHICH	ARE	NOW	BE(I)NG
19	WHERE	TH(I)NGS	ARE	GO(I)NG
19	WHERE	CAN	YOU	GET
19	WHERE	AND	HOW	YOU
19	WATCH	OUT	FOR	HER
19	WAIT(I)NG	FOR	THIS	FOR
19	WAIT(I)NG	FOR	THIS	DAY
19	WAIT(I)NG	FOR	HIM	AND
19	THOUGH	THAT	WAS	NOT
19	TELLS	THEM	THAT	THEY
19	TELLS	HER	THAT	SHE
19	STIFF	BUT	NOT	DRY
19	STICC	HIS	HEAD	OUT
19	SHARE	THIS	WITH	YOU
19	ROLES	FOR	MEN	AND
19	REALLY	DOES	NOT	MEAN
19	PEOPLE	THAT	SHE	WAS
19	PEOPLE	SHE	DID	NOT
19	PEOPLE	ARE	DO(I)NG	THIS
19	OTHERS	SAY	THEY	ARE
19	NIGHT	AND	DID	NOT
19	MAYBE	YOU	ARE	NOT
19	GIUEN	THAT	THEY	ARE
19	DOUBT	THAT	SHE	WAS
19	CHECC	OUT	OUR	NEW
19	BLACC	MEN	WHO	ARE
19	AWARE	THAT	YOU	ARE
19	ASCED	WHY	SHE	HAD
19	ASCED	THEM	WHY	THEY
19	ANYTH(I)NG	THAT	WAS	NOT
19	ABOUT	HOW	YOU	ARE
19	ABOUT	HOW	LO(I)NG	YOU
19	ABOUT	ALL	YOU	CAN
18	YARDS	AND	RAN	FOR
18	WOULD	NOT	SAY	WHY
18	WOULD	NOT	GET	TOO
18	WOMEN	AND	SIX	MEN
18	WHOSE	IDEA	WAS	THIS
18	WHILE	SHE	WAS	BE(I)NG
18	WHERE	THEY	SAY	THEY
18	WHERE	THEY	ARE	NOT
18	WHERE	DOES	ALL	THAT
18	UNTIL	SHE	AND	HER
18	TURNS	OUT	THAT	THAT
18	TURNS	OUT	THAT	ONE
18	TELLS	YOU	THAT	THIS
18	STUFF	THAT	YOU	CAN
18	SINCE	SHE	AND	HER
18	SENSE	THAT	YOU	CAN
18	RIGHT	NOW	WITH	THIS
18	RIGHT	NOW	AND	GET
18	REASON	FOR	ALL	THIS
18	PUTT(I)NG	TWO	AND	TWO
18	PROUE	THAT	THEY	HAD
18	POINT	OUT	THAT	ALL
18	PEOPLE	THAT	THEY	HAD
18	PEOPLE	CAN	NOT	GET
18	PARTY	THAT	DOES	NOT
18	NIGHT	AND	DAY	AND
18	MOTHER	DID	NOT	SAY
18	MAYBE	THEY	HAD	NOT
18	LATER	THAT	SHE	WAS
18	LATER	THAT	DAY	AND
18	HUMAN	BE(I)NG	AND	NOT
18	GETT(I)NG	TOO	BIG	FOR
18	FOUND	THAT	THEY	CAN
18	FOLCS	WHO	DID	NOT
18	EUERY	DAY	AND	NOT
18	EUEN(I)NG	FOR	ALL	TH(I)NGS
18	DOUBT	THAT	THIS	WAS
18	COULD	NOT	SAY	WHY
18	COULD	NOT	SEE	OUT
18	COULD	NOT	ASC	HIM
18	CNOW(I)NG	THAT	THEY	HAD
18	CHILD	WHO	DOES	NOT
18	ASCED	HIM	FOR	HIS
18	AFTER	HER	SON	WAS
18	ABOUT	HER	THAT	SHE
17	WOULD	SAY	THAT	HIS
17	WOULD	SAY	THAT	ALL
17	WOULD	ASC	THAT	YOU
17	WOULD	NOT	RUN	FOR
17	WOULD	NOT	LET	HIS
17	WOULD	NOT	GET	THAT
17	WORLD	AND	ALL	ITS
17	WORC(I)NG	WITH	THEM	AND
17	WOMEN	SAY	THEY	ARE
17	WOMAN	AND	HER	SON
17	WHICH	THEY	HAD	NOT
17	WHERE	WAS	SHE	GO(I)NG
17	WHERE	THEY	GOT	THAT
17	WHERE	SHE	DOES	NOT
17	WHERE	SHE	CAN	SEE
17	WATCH	OUT	FOR	THEM
17	THOUGH	SHE	HAS	NOT
17	TURNS	OUT	THAT	SHE
17	TURNS	HER	HEAD	AND
17	TACES	OUT	HIS	GUN
17	STATE	THAT	DOES	NOT
17	SMALL	FOR	HER	AGE
17	SINCE	SHE	HAD	NOT
17	SHOWN	THAT	YOU	CAN
17	SENSE	THAT	THEY	HAD
17	RIGHT	NOW	YOU	CAN
17	RIGHT	NOW	ARE	NOT
17	RIGHT	NOW	AND	NOT
17	REALLY	WAS	NOT	ANY
17	PROUE	THAT	YOU	ARE
17	PRICE	THEY	PAY	FOR
17	POINT	THAT	YOU	CAN
17	PEOPLE	WHO	HAD	HAD
17	PEOPLE	THAT	YOU	SEE
17	OLIUE	OIL	AND	SET
17	NEUER	HAD	ANY	REAL
17	NEUER	GOT	THAT	FAR
17	NEEDS	ARE	NOT	BE(I)NG
17	LOOC(I)NG	FOR	YOU	AND
17	LIUED	WITH	THEM	FOR
17	HOPED	SHE	DID	NOT
17	HAPPY	NEW	YEAR	AND
17	GROUP	THAT	DID	NOT
17	FOLCS	WHO	ARE	NOT
17	FIND(I)NG	OUT	THAT	THEY
17	FATHER	AND	SON	AND
17	EUERY	WAY	YOU	CAN
17	EUERY	DAY	THAT	THEY
17	EUERY	DAY	FOR	SIX
17	COULD	NOT	ASC	FOR
17	COULD	GET	OUT	AND
17	COULD	NOT	HEAR	ANY
17	COULD	NOT	GET	ONE
17	CNOWS	HOW	LO(I)NG	THAT
17	CNOW(I)NG	THAT	SHE	HAD
17	CHAIR	AND	PUT	HIS
17	CATCH	HIS	EYE	AND
17	BOWLS	AND	TOP	EACH
17	BLAME	HIM	FOR	BE(I)NG
17	AWARE	THAT	THEY	HAD
17	ANYTH(I)NG	THEY	CAN	GET
17	ANYTH(I)NG	THAT	WAS	GO(I)NG
17	ANYTH(I)NG	THAT	THEY	CAN
17	ABOUT	TH(I)NGS	THAT	THEY
17	ABOUT	THAT	AND	HOW
17	ABOUT	HOW	THIS	WAS
17	ABOUT	HIM	THAT	WAS
17	ABOUT	HER	THAT	WAS
16	WOULD	SAY	YOU	ARE
16	WOULD	NOT	SEE	HIM
16	WOULD	NOT	USE	THAT
16	WOULD	NOT	PUT	HIM
16	WOULD	NOT	GET	OFF
16	WOULD	NOT	ASC	HIM
16	WORRY	THAT	THEY	ARE
16	WOMEN	WHO	RUN	WITH
