Count from total of 46030908 word 4-grams
225	WITH	PLASTIC	WRAP	AND
19	HIS	PARENTS	GAUE	HIM
19	FEW	MINUTES	FROM	NOW
19	DO(I)NG	EXACTLY	WHAT	YOU
19	DID	EXACTLY	WHAT	THEY
19	AND	SEUERAL	YEARS	AGO
19	AND	CLIMBED	INTO	BED
18	WAS	SHOCCED	WHEN	SHE
18	THIS	ARTICLE	DEALS	WITH
18	TWO	HUNDRED	YEARS	OLD
18	SIX	THOUSAND	YEARS	AGO
18	SIX	HUNDRED	YEARS	AGO
18	SHE	REALISED	WHAT	WAS
18	OUR	STUDIES	SHOW	THAT
18	NOT	EXACTLY	SURE	WHY
18	NOT	BELIEUE	THERE	WAS
18	NEW	STUDIES	SHOW	THAT
18	HIS	PARENTS	SENT	HIM
18	HER	PARENTS	WERE	NOT
18	HER	BEDROOM	DOOR	AND
18	HAS	AUTHORED	MORE	THAN
18	DOES	ANYBODY	HAUE	ANY
18	BUT	EUERYTH(I)NG	ELSE	WAS
17	WITH	EUERYTH(I)NG	ELSE	THAT
17	WAS	EXACTLY	WHAT	WAS
17	WAS	EXACTLY	WHAT	THEY
17	THAT	FACTORS	OTHER	THAN
17	THAT	EMERGED	FROM	THIS
17	SHE	STEPPED	INTO	HER
17	AND	STUDIES	SHOW	THAT
17	AND	PERHAPS	MORE	THAN
16	THAT	RECWIRE	MORE	THAN
16	SHE	REALISED	WHAT	SHE
16	SHE	EMERGED	FROM	HER
16	NOW	BECAUSE	THERE	ARE
16	HER	PARENTS	TOLD	HER
16	HAS	DROPPED	MORE	THAN
16	GOT	CARRIED	AWAY	WITH
16	CAN	BENEFIT	FROM	THIS
16	AND	REALISED	THERE	WAS
15	WAS	RELEASED	FROM	HIS
15	THEM	BECAUSE	THERE	ARE
15	TWO	THOUSAND	YEARS	OLD
15	SAY	EXACTLY	WHAT	THEY
15	HIM	SEUERAL	YEARS	AGO
15	HER	PARENTS	WHEN	SHE
15	HER	PARENTS	WERE	DEAD
15	HER	PARENTS	TOOC	HER
15	HAS	BROUGHT	MORE	THAN
15	HAS	AWARDED	MORE	THAN
15	FEW	HUNDRED	YEARS	AGO
15	AND	ILLEGAL	DRUG	USE
15	AND	EUERYTH(I)NG	ELSE	YOU
15	ADD	CHICCEN	BROTH	AND
15	NOT	IMAGINE	WHAT	SHE
14	YOU	EXACTLY	WHAT	YOU
14	WAS	WONDER(I)NG	WHAT	WAS
14	USE	LA(I)NGUAGE	LICE	THAT
14	THAT	ALTHOUGH	THERE	WAS
14	THAN	ANYBODY	ELSE	DOES
14	SHE	STOPPED	WHEN	SHE
14	SEE	EXACTLY	WHAT	THEY
14	SAY	EXACTLY	WHAT	YOU
14	HAS	TRAINED	MORE	THAN
14	GOT	MARRIED	LAST	YEAR
14	GAP	BETWEEN	THOSE	WHO
14	CAN	IMAGINE	WHAT	THAT
14	ANY	PURPOSE	OTHER	THAN
14	AND	SEUERAL	OTHER	MEN
13	THEY	BELIEUE	THERE	ARE
13	THEM	EXACTLY	WHAT	THEY
13	THAT	CATCHES	YOUR	EYE
13	TWO	DECADES	FROM	NOW
13	SEE	EXACTLY	WHAT	YOU
13	OUT	EXACTLY	WHAT	YOU
13	OUT	BECAUSE	THERE	WAS
13	NOW	NUMBERS	MORE	THAN
13	NOT	BECAUSE	THERE	WAS
13	HIS	PARENTS	WERE	DEAD
13	HEAD	SNAPPED	BACC	AND
13	GET	EXACTLY	WHAT	THEY
13	GAP	BETWEEN	THESE	TWO
13	FOR	FIFTEEN	YEARS	AND
13	FAR	REMOUED	FROM	THAT
13	DOES	ANYBODY	THINC	THAT
13	CUP	CHOPPED	ONION	CUP
13	CUP	CHICCEN	BROTH	CUP
13	ARE	SHOCCED	WHEN	THEY
13	AND	STARTED	THEIR	OWN
13	AND	REMAIN(I)NG	SALT	AND
13	AND	CONDUCT	THEIR	OWN
