Count from total of 16451820 word 5-grams
182	DO	MORE	HARM	THAN	GOOD
9	THE	DIN(I)NG	ROOM	AND	LIU(I)NG
9	TO	WHOM	MUCH	HAS	BEEN
9	TO	SLOW	DOWN	AND	TACE
9	TO	MACE	SURE	TH(I)NGS	WERE
9	TO	MACE	SURE	THEY	STAY
9	TO	MACE	SURE	THEY	MEET
9	TO	MACE	SURE	THAT	YOU(I)NG
9	TO	MACE	SURE	THAT	SOME
9	TO	MACE	SURE	THAT	CIDS
9	TO	MACE	SURE	SHE	GETS
9	TO	MACE	MORE	AND	MORE
9	TO	HAUE	LESS	AND	LESS
9	TO	FEEL	LICE	THEY	WERE
9	TO	COME	HERE	AND	WORC
9	TO	COME	BACC	AND	TELL
9	TO	COME	BACC	AND	LOOC
9	IT	TOOC	MORE	THAN	THREE
9	IN	YOUR	LIFE	AND	WHAT
9	IN	MORE	WAYS	THAN	JUST
9	IF	ONLY	THERE	HAD	BEEN
9	HE	WENT	INTO	HIS	ROOM
8	WE	WILL	HAUE	YOU	BACC
8	THE	SAME	TIME	THEY	WANT
8	THE	SAME	TIME	THAT	THEIR
8	THE	PURE	FOOD	AND	DRUG
8	THE	PAST	THERE	HAS	BEEN
8	THE	ONLY	TIME	SHE	EUER
8	THE	LAST	TIME	YOU	MADE
8	THE	EARLY	SHOW	WEB	SITE
8	THE	BEST	PART	WAS	WHEN
8	TO	WALC	BACC	AND	FORTH
8	TO	THREE	DAYS	PER	WEEC
8	TO	TACE	THEIR	OWN	LIFE
8	TO	TACE	MORE	THAN	JUST
8	TO	MACE	THEIR	WAY	HOME
8	TO	MACE	ROOM	FOR	OTHER
8	TO	MACE	PEACE	WITH	YOUR
8	TO	HOLD	BACC	HER	TEARS
8	TO	HAUE	MORE	THAN	JUST
8	TO	FIUE	DAYS	PER	WEEC
8	TO	FALL	INTO	THAT	TRAP
8	TO	COME	HOME	AND	TELL
8	TO	COME	HOME	AND	FIND
8	TO	COME	HERE	AND	PLAY
8	TO	COME	BACC	WITH	MORE
8	TO	COME	ALO(I)NG	AND	MACE
8	TO	CNOW	WHAT	THEY	THINC
8	SO	WHAT	BR(I)NGS	YOU	HERE
8	OF	YOUR	LIFE	AND	YOUR
8	OF	HAIR	FROM	HER	EYES
8	IT	WILL	TACE	TWO	YEARS
8	IT	WILL	MACE	HER	FEEL
8	IT	WENT	BACC	AND	FORTH
8	IS	JUST	WHAT	YOU	NEED
8	IN	THOSE	DAYS	THEY	WERE
8	IN	JUST	OUER	TWO	YEARS
8	IF	THERE	WERE	ANY	MORE
8	HE	WENT	BACC	AND	FORTH
8	HE	CNEW	THERE	WAS	MORE
8	HE	CAME	HOME	AND	TOLD
8	C(I)NG	LIUE	FROM	NEW	YORC
8	BE	MUCH	MORE	THAN	JUST
7	THE	UERY	YOU(I)NG	AND	UERY
7	THE	UERY	FACT	THAT	THERE
7	THE	THIRD	TIME	THIS	MONTH
7	THE	SAME	TIME	THEY	HAUE
7	THE	SAME	TIME	THAT	THESE
7	THE	PINS	FROM	HER	HAIR
7	THE	PAST	WEEC	HAS	BEEN
7	THE	PAST	MONTH	HAS	BEEN
7	THE	ONLY	TIME	YOU	EUER
7	THE	NEXT	TIME	YOU	TACE
7	THE	NEXT	TIME	YOU	CALL
7	THE	NEXT	TIME	THEY	WERE
7	THE	MOST	PART	THEY	HAUE
7	THE	MORE	TIME	YOU	HAUE
7	THE	LAST	WEEC	HAS	BEEN
7	THE	LAST	TIME	YOU	USED
7	THE	LAST	TIME	YOU	EUER
7	THE	LAST	TIME	WAS	WHEN
7	THE	LAST	TIME	SHE	CAME
7	THE	HAIR	FROM	HER	EYES
7	THE	DIRT	ROAD	THAT	LEADS
7	TO	WORC	THEIR	WAY	BACC
7	TO	TELL	WHAT	THEY	WERE
7	TO	TELL	WHAT	THEY	CNOW
7	TO	SWAY	BACC	AND	FORTH
7	TO	STEP	BACC	AND	THINC
7	TO	STAY	HERE	AND	LIUE
7	TO	SAUE	YOUR	OWN	LIFE
7	TO	ROLL	OUER	ONE	MORE
7	TO	RISC	LIFE	AND	LIMB
7	TO	MACE	SURE	THEY	WORC
7	TO	LOOC	LICE	THEY	WERE
7	TO	LOOC	INTO	HER	FACE
7	TO	LEARN	WHAT	THEY	NEED
7	TO	HOLD	BACC	HIS	TEARS
7	TO	FEEL	WHAT	THEY	FEEL
7	TO	FEEL	MORE	AND	MORE
7	TO	COME	OUER	AND	TALC
7	TO	COME	HOME	AND	TACE
7	TO	COME	DOWN	AND	JOIN
7	TO	COME	BACC	AND	LIUE
7	TO	COME	BACC	AND	CILL
7	TO	COME	BACC	AND	BITE
7	TO	CNOW	WHAT	YOU	GUYS
7	TO	CEEP	YOUR	HEAD	DOWN
7	TO	BUMP	INTO	EACH	OTHER
7	SO	WHAT	HAUE	YOU	DONE
7	OF	THEIR	WORC	AND	THEIR
7	MY	HAND	OUER	HIS	MOUTH
7	MY	EYES	FILL	WITH	TEARS
7	IT	WILL	CEEP	YOU	FROM
7	IT	TOOC	MORE	THAN	FOUR
7	IT	FELT	LICE	YOU	WERE
7	IT	ALSO	MEANS	THAT	THERE
7	IS	UERY	CLEAR	THAT	THERE
7	IS	NOTH(I)NG	MORE	NOR	LESS
7	IS	ALSO	TRUE	THAT	THERE
7	IN	YOUR	LIFE	AND	YOUR
7	IN	YOUR	HEART	YOU	CNOW
7	IN	YOUR	BOOC	YOU	TALC
7	IN	THEIR	ARMS	AND	LEGS
7	IN	LATE	FALL	AND	EARLY
7	HE	CNEW	WHAT	SHE	MEANT
7	HE	CNEW	THERE	WAS	NOTH(I)NG
7	HE	CAME	BACC	AND	TOLD
7	HE	CAME	BACC	AND	GAUE
7	BE	USED	MORE	AND	MORE
7	BE	JUST	LICE	ANY	OTHER
7	AT	LEAST	THERE	WAS	SOME
7	AT	LEAST	ONCE	PER	MONTH
6	WE	WILL	SHOW	YOU	WHAT
6	WE	WILL	SHOW	YOU	SOME
6	WE	WERE	TOLD	THEY	WERE
6	WE	WENT	DOWN	THAT	ROAD
6	WE	JUST	WERE	NOT	ABLE
6	WE	JUST	WANT	HER	BACC
6	WE	HAUE	DONE	HAS	BEEN
6	WE	CNOW	THERE	ARE	MORE
6	US	COM(I)NG	BACC	FOR	MORE
6	THE	YEARS	THERE	HAD	BEEN
6	THE	WOOL	OUER	OUR	EYES
6	THE	WIND	BLEW	HER	HAIR
6	THE	TIME	YEARS	AGO	WHEN
6	THE	SWEAT	FROM	HER	FACE
6	THE	PIPE	FROM	HIS	MOUTH
6	THE	ONLY	TIME	YOU	HAUE
6	THE	ONLY	ONES	WHO	THINC
6	THE	ONLY	ONES	WHO	LOUE
6	THE	NEXT	TIME	YOU	MEET
6	THE	NEXT	CALL	WAS	FROM
6	THE	MORE	CIDS	YOU	HAUE
6	THE	MASC	FROM	HIS	FACE
6	THE	LIU(I)NG	ROOM	WAS	DARC
6	THE	LIU(I)NG	ROOM	AND	MADE
6	THE	LESS	TIME	YOU	HAUE
6	THE	LATE	FALL	AND	EARLY
6	THE	LAST	TIME	YOU	GAUE
6	THE	LAST	TIME	THEY	WENT
6	THE	LAST	MONTH	HAS	BEEN
6	THE	HELL	HAUE	YOU	DONE
6	THE	HAIR	FROM	HER	FACE
6	THE	CASE	WHEN	YOU	HAUE
6	THE	BOYS	WHEN	THEY	WERE
6	THE	BACC	DOOR	HAD	BEEN
6	THE	BABY	BACC	AND	FORTH
6	TO	TACE	TIME	OFF	WORC
6	TO	STAY	HOME	AND	WORC
6	TO	SOFT	PEACS	AND	FOLD
6	TO	SLOW	DOWN	AND	THINC
6	TO	PLAY	HIDE	AND	SEEC
6	TO	MOUE	FROM	NEW	YORC
6	TO	MACE	SURE	THEY	CEEP
6	TO	MACE	SURE	SHE	CNEW
6	TO	MACE	SURE	OUR	CIDS
6	TO	MACE	ROOM	FOR	THEIR
6	TO	MACE	PEACE	WITH	THEIR
6	TO	LOOC	LICE	YOU	WERE
6	TO	LEARN	MORE	AND	MORE
6	TO	HELP	THOSE	WHO	NEED
6	TO	GROW	MORE	AND	MORE
6	TO	FEEL	LICE	THEY	HAUE
6	TO	COME	OUER	AND	LOOC
6	TO	COME	DOWN	AND	TALC
6	TO	COME	BACC	WITH	SOME
6	TO	COME	BACC	ONE	MORE
6	TO	CNOW	WHAT	THEY	HAUE
6	TO	CEEP	PACE	WITH	THEIR
6	SO	MACE	SURE	YOU	CNOW
6	ON	YOUR	SIDE	WITH	YOUR
6	ON	HEALTH	CARE	AND	OTHER
6	OF	WHOM	THERE	ARE	MANY
6	OF	MOU(I)NG	BACC	AND	FORTH
6	MY	CIDS	WHEN	THEY	WERE
6	ME	JUST	MACE	ONE	OTHER
6	IT	WILL	MACE	YOU	LOOC
6	IT	WILL	CEEP	YOU	WARM
6	IT	UERY	CLEAR	THAT	THERE
6	IT	SW(I)NGS	BACC	AND	FORTH
6	IT	LICE	WHEN	YOU	WERE
6	IT	BACC	INTO	HIS	MOUTH
6	IS	WORTH	NOT(I)NG	THAT	EUEN
6	IS	THERE	LIFE	OUT	THERE
6	IS	AMO(I)NG	THOSE	WHO	THINC
6	IN	YOUR	MIND	THAT	THESE
6	IN	THESE	NEXT	FEW	DAYS
6	IN	THESE	LAST	FEW	YEARS
6	IN	MIND	WHEN	THEY	THINC
6	IN	HEALTH	CARE	AND	OTHER
6	IF	THERE	WERE	NOT	SOME
6	HE	CNEW	WHAT	WAS	WHAT
6	GO	DOWN	THERE	AND	MACE
6	DO	MUCH	MORE	THAN	JUST
6	BE	HEARD	LOUD	AND	CLEAR
