Count from total of 16451820 word 5-grams
133	HEAT	OIL	OUER	MEDIUM	HEAT
8	HAD	NOT	BEEN	AROUND	FOR
8	DOES	NOT	SEEM	LICELY	THAT
8	DID	YOU	EUER	WONDER	HOW
8	DID	NOT	EUEN	NOTICE	HER
8	CAN	NOT	HELP	NOTIC(I)NG	THAT
8	BUT	NOT	GOOD	ENOUGH	FOR
8	ARE	FAR	MORE	COMMON	THAN
8	AND	THEY	WERE	AFRAID	THAT
8	AND	HER	EYES	FILLED	WITH
8	NOT	YOU	COME	INSIDE	AND
7	WITH	ITS	HIGH	CEIL(I)NGS	AND
7	WHO	HAS	BEEN	ACTIUE	FOR
7	WAY	TH(I)NGS	HAUE	TURNED	OUT
7	WAS	NOT	MUCH	BETTER	THAN
7	THEY	HAD	BEEN	SEARCH(I)NG	FOR
7	THAT	THEY	WERE	FIGHT(I)NG	FOR
7	THAT	HAS	BEEN	COATED	WITH
7	THAT	HAD	BEEN	WORCED	OUT
7	THAT	ARE	BEST	SUITED	FOR
7	THAN	YOU	EUER	THOUGHT	YOU
7	THAN	THEY	WERE	BEFORE	THEY
7	ONE	CAN	ONLY	WONDER	HOW
7	MAY	NOT	HAUE	AGREED	WITH
7	LO(I)NG	AND	HARD	BEFORE	YOU
7	HAD	NOT	BEEN	TESTED	FOR
7	FOR	HIS	HIGH	SCHOOL	TEAM
7	FOR	ALL	THESE	REASONS	AND
7	DOES	NOT	CNOW	WHETHER	SHE
7	DID	NOT	CNOW	WHETHER	THIS
7	DID	NOT	CNOW	ANYONE	WAS
7	CAN	NOT	TACE	CREDIT	FOR
7	NOT	SEE	WHAT	ANYONE	CAN
6	YOU	CAN	TURN	AROUND	AND
6	YOU	AND	YOUR	SPOUSE	BOTH
6	YOU	AND	YOUR	DOCTOR	CAN
6	WON	TWO	GOLD	MEDALS	AND
6	WITH	HER	BEST	FRIEND	AND
6	WHO	HAD	ONCE	WORCED	FOR
6	WHO	HAD	BEEN	WATCH(I)NG	HIM
6	WHO	HAD	BEEN	TREATED	FOR
6	WHO	HAD	BEEN	SEARCH(I)NG	FOR
6	WAS	NOT	MUCH	TALLER	THAN
6	WAS	NOT	MUCH	LARGER	THAN
6	WAS	NOT	MUCH	BETTER	THAN
6	WAS	FAR	MORE	COMMON	THAN
6	THIS	WAS	MUCH	BETTER	THAN
6	THAT	YOU	LOUE	ANOTHER	MAN
6	THAT	YOU	HAUE	WORCED	FOR
6	THAT	YOU	HAUE	LEARNED	AND
6	THAT	THEY	WERE	PLEASED	WITH
6	THAT	HAD	BEEN	BOTHER(I)NG	HIM
6	THAT	ARE	MUCH	HIGHER	THAN
6	OUR	NEW	YORC	STUDIOS	ARE
6	HAS	LO(I)NG	BEEN	FAMOUS	FOR
6	HAS	NOT	BEEN	WORCED	OUT
6	HAD	NOT	BEEN	WATCH(I)NG	HIM
6	GET	OUR	ARMS	AROUND	THIS
6	DID	YOU	EUER	FIGURE	OUT
6	DID	YOU	CNOW	SOMETH(I)NG	WAS
6	DID	NOT	EUEN	REALISE	THEY
6	DID	NOT	EUEN	MATTER	THAT
6	DID	NOT	COME	THROUGH	FOR
6	DID	NOT	CNOW	WHETHER	YOU
6	DID	NOT	CNOW	WHETHER	THAT
6	BUT	THEY	ALSO	REALISE	THAT
6	ARE	TWO	MAIN	REASONS	WHY
6	ARE	NOT	MUCH	BETTER	THAN
6	ARE	NOT	GOOD	ENOUGH	FOR
6	AND	YOU	WILL	NOTICE	THAT
6	AND	YOU	LOOC	AROUND	AND
6	AND	THEY	WERE	FILLED	WITH
6	AND	SHE	SAID	SOMETH(I)NG	THAT
6	AND	SET	OUER	MEDIUM	HEAT
6	AND	HIS	LOUE	AFFAIR	WITH
6	AND	HIS	EYES	FILLED	WITH
