Count from total of 16451820 word 5-grams
165	AND	THIS	IS	FRESH	AIR
6	THEY	MAY	BE	LOOC(I)NG	FOR
6	THEY	HAD	THE	RIGHT	MAN
6	THEY	CAN	BE	ANYTH(I)NG	THEY
6	THEM	OFF	THE	FLOOR	AND
6	THAT	WAS	THE	POINT	THAT
6	THAT	WAS	THE	FIRST	DAY
6	THAT	WAS	MY	FIRST	REAL
6	THAT	THIS	IS	WHERE	THEY
6	THAT	FOR	THE	PEOPLE	WHO
6	THAT	BOTH	THE	STATE	AND
6	THAT	ARE	IN	PLACE	AND
6	THAT	ALL	IS	RIGHT	WITH
6	TOO	BAD	IT	COULD	NOT
6	SHE	WAS	THE	FIRST	AND
6	SHE	CAN	NO	LO(I)NGER	SEE
6	READ	ALL	THE	BOOCS	AND
6	ONE	WAY	IN	WHICH	THIS
6	ONE	WAY	IN	WHICH	THEY
6	NOT	GO(I)NG	TO	START	WITH
6	NOT	GO(I)NG	TO	SOLUE	THAT
6	NOT	GO(I)NG	TO	CHA(I)NGE	WHO
6	NOT	GO(I)NG	TO	CHA(I)NGE	THIS
6	NOT	BE(I)NG	IN	TOUCH	WITH
6	HOW	CAN	WE	TRUST	HIM
6	HIS	WAY	TO	UISIT	HIS
6	HIM	THAT	HE	MIGHT	NOT
6	HER	HEAD	AS	THOUGH	SHE
6	HAD	SET	THE	STAGE	FOR
6	GET	OFF	THE	FENCE	AND
6	FOR	THEM	TO	CARRY	OUT
6	FOR	HIM	TO	CHA(I)NGE	HIS
6	DOES	NOT	GO	NEARLY	FAR
6	CAN	USE	THE	MONEY	FOR
6	CAN	NOT	BE	ANYTH(I)NG	BUT
6	CAN	GET	UP	CLOSE	AND
6	BUT	THEN	WE	WOULD	NOT
6	BUT	THEN	IT	TURNS	OUT
6	BUT	THEN	HE	SHOOC	HIS
6	BUT	THAT	HE	WOULD	NOT
6	ARE	RUN	BY	PEOPLE	WHO
6	ARE	OUT	OF	SIGHT	AND
6	ARE	OFF	THE	BEATEN	PATH
6	ARE	NOT	ON	BOARD	WITH
6	ARE	GO(I)NG	TO	CHA(I)NGE	AND
6	ARE	GO(I)NG	TO	AGREE	WITH
6	AND	THEN	IT	COMES	OUT
6	AND	THEN	HE	WOULD	PUT
6	AND	THAT	THE	STATE	HAS
6	AND	THAT	IS	WHERE	OUR
6	AND	SHE	NO	LO(I)NGER	HAD
6	AND	SET	THE	TABLE	FOR
6	AND	SET	IT	ASIDE	FOR
6	AND	OFF	THE	BEATEN	PATH
6	AND	HOW	HE	COULD	NOT
6	NOT	THAT	HE	COULD	NOT
6	NOT	BUY	THE	NOTION	THAT
