Count from total of 16451820 word 5-grams
286	TO	TASTE	WITH	SALT	AND
11	WE	WOULD	NOT	HAUE	THAT
11	WE	WOULD	NOT	HAUE	ALL
11	WE	COULD	SIT	HERE	AND
11	THE	WORLD	FOR	MORE	THAN
11	THE	STORY	GOES	LICE	THIS
11	THE	REASON	WHY	THERE	ARE
11	THE	PEOPLE	WHO	HAUE	NOT
11	THE	PEOPLE	WHO	CNEW	HIM
11	THE	PEOPLE	OUT	THERE	ARE
11	THE	NIGHT	WAS	CLEAR	AND
11	THE	MONTHS	AND	YEARS	THAT
11	TO	TERMS	WITH	THEIR	OWN
11	TO	RELAX	AND	HAUE	FUN
11	TO	OUTDO	EACH	OTHER	WITH
11	OF	PEOPLE	WHO	WORC	FOR
11	IT	WOULD	NOT	WORC	OUT
11	IT	WOULD	NOT	LAST	LO(I)NG
11	IT	MACES	YOU	FEEL	BAD
11	IN	WHICH	SHE	SAID	THAT
11	HE	WOULD	NOT	TELL	HER
11	HE	WOULD	NOT	GIUE	HER
11	HE	COULD	NOT	CNOW	THAT
11	AS	THOUGH	THEY	WERE	GO(I)NG
11	AS	THOUGH	THEY	WERE	ALL
10	WE	BEGIN	THIS	HOUR	WITH
10	THE	WATER	WAS	WARM	AND
10	THE	PRICE	THEY	PAID	FOR
10	THE	POINT	THAT	THERE	ARE
10	THE	PEOPLE	WHO	LOUE	YOU
10	TO	WHERE	THEY	WERE	GO(I)NG
10	TO	TRACC	HIM	DOWN	AND
10	TO	TERMS	WITH	WHAT	HAD
10	TO	STICC	HIS	NECC	OUT
10	TO	POINT	OUT	HERE	THAT
10	TO	FIGHT	FOR	WHAT	THEY
10	TO	CLOSE	HER	EYES	AND
10	OF	PEOPLE	WHO	CNEW	HIM
10	IT	WOULD	ALL	WORC	OUT
10	IT	WOULD	NOT	WORC	FOR
10	IT	SEEMS	THAT	THOSE	WHO
10	IN	WHICH	THEY	HAUE	HAD
10	HE	COULD	SEE	NOTH(I)NG	BUT
10	HE	COULD	NOT	WAIT	ANY
10	HE	COULD	NOT	FIND	ONE
10	HE	COULD	NOT	FEEL	HIS
10	HE	COULD	NOT	EUEN	SAY
10	AS	THOUGH	THEY	WERE	NOT
9	WE	NEUER	DID	FIND	OUT
9	WE	FOUND	OUT	THERE	WAS
9	WE	COULD	NOT	WAIT	FOR
9	WE	COULD	NOT	HAUE	THAT
9	WE	COULD	NOT	FIND	THEM
9	WE	COULD	NOT	EUEN	SEE
9	WE	BEGIN	THIS	WEEC	WITH
9	THE	WORLD	AND	THERE	ARE
9	THE	STAGE	HAS	BEEN	SET
9	THE	SEARCH	FOR	TRUTH	AND
9	THE	PRICE	ONE	PAYS	FOR
9	THE	PHONE	AND	CALL	HER
9	THE	PEOPLE	WHO	SAID	THEY
9	THE	PEOPLE	WHO	HAUE	HAD
9	THE	PEOPLE	WHO	CAME	OUT
9	THE	PEOPLE	THEY	WORC	WITH
9	TO	PEOPLE	WHO	CNEW	HIM
9	OF	SPACE	AND	TIME	THAT
9	OF	SPACE	AND	TIME	AND
9	OF	PEOPLE	WHO	WORC	WITH
9	OF	PEOPLE	WHO	SAID	THEY
9	OF	PEOPLE	OUT	THERE	WITH
9	OF	FOLCS	OUT	THERE	WHO
9	OF	CILL(I)NG	HIS	WIFE	AND
9	NO	LO(I)NGER	ANY	NEED	FOR
9	IT	WOULD	NOT	HURT	FOR
9	IT	WOULD	NOT	CILL	YOU
9	IT	SEEMS	THAT	THERE	WAS
9	IS	ABOUT	FAR	MORE	THAN
9	IN	WHICH	YOU	SAID	THAT
9	HE	WOULD	NOT	RULE	OUT
9	HE	WOULD	NOT	CNOW	HOW
9	HE	WAUED	HIS	HAND	AND
9	HE	STUCC	HIS	HAND	OUT
9	HE	COULD	NOT	HAUE	HAD
9	BE	STILL	AND	CNOW	THAT
9	AS	THOUGH	SHE	WERE	GO(I)NG
8	WE	COULD	NOT	HAUE	HAD
8	WE	COULD	NOT	FIND	OUT
8	WE	COULD	NOT	FIND	ONE
8	THE	WOMAN	WHO	GAUE	HER
8	THE	UOICE	WAS	DEEP	AND
8	THE	REASON	THAT	THERE	ARE
8	THE	PRICE	YOU	PAID	FOR
8	THE	POLAR	ICE	CAPS	AND
8	THE	PEOPLE	YOU	WORC	FOR
8	THE	PEOPLE	WITH	WHOM	YOU
8	THE	PEOPLE	WHO	MACE	AND
8	THE	PEOPLE	WHO	LOUE	THEM
8	THE	PEOPLE	WHO	LOUE	HIM
8	THE	PEOPLE	WHO	COME	OUT
8	THE	PEOPLE	WHO	CNOW	HIM
8	THE	CRAFT	AND	FOLC	ART
8	THE	BASES	WITH	NONE	OUT
8	TO	PEOPLE	WHO	WERE	NOT
8	TO	PEOPLE	WHO	WERE	NOT
8	TO	CLOSE	OUR	EYES	AND
8	OF	PEOPLE	WHO	WERE	GO(I)NG
8	OF	PEOPLE	WHO	THINC	THEY
8	OF	PEOPLE	THAT	HAUE	HAD
8	IT	WOULD	NOT	TACE	THEM
8	IT	MACES	YOU	THINC	THAT
8	IS	STILL	OUT	THERE	AND
8	IS	STILL	FAR	FROM	BE(I)NG
8	IN	TOUCH	WITH	THEIR	OWN
8	IN	POWER	FOR	MORE	THAN
8	HE	WOULD	NOT	UOTE	FOR
8	HE	WOULD	NOT	MIND	BE(I)NG
8	HE	WOULD	NOT	LEAUE	HER
8	HE	WOULD	NOT	COME	OUT
8	HE	WAUED	HIS	ARMS	AND
8	HE	LIFTS	HIS	HAND	AND
8	HE	COULD	SEE	WHAT	WAS
8	HE	COULD	NOT	TELL	HER
8	HE	COULD	NOT	CEEP	HIS
8	HE	COULD	NOT	MACE	HIS
8	HE	COULD	NOT	LIFT	HIS
8	HE	COULD	NOT	GIUE	HER
8	HE	COULD	NOT	FIND	HER
8	BY	PEOPLE	WHO	WERE	NOT
8	BE	FOUND	FOR	LESS	THAN
8	AN	OPTION	FOR	THOSE	WHO
7	WE	WOULD	NOT	WANT	YOU
7	US	WHERE	YOU	LIUE	AND
7	UP	UNTIL	TWO	YEARS	AGO
7	THE	WORST	AND	HOPE	FOR
7	THE	WORLD	THAT	THERE	ARE
7	THE	WOMAN	WHO	SAYS	SHE
7	THE	WEATHER	WAS	UERY	BAD
7	THE	STATE	FOR	MORE	THAN
7	THE	REASON	THEY	HAUE	NOT
7	THE	REGION	FOR	MORE	THAN
7	THE	PEOPLE	WITH	WHOM	SHE
7	THE	PEOPLE	WHO	LIUE	NEAR
7	THE	PEOPLE	WHO	HAUE	THEM
7	THE	PERCS	THAT	COME	WITH
7	THE	NIGHT	WAS	DARC	AND
7	THE	MUSIC	WAS	LOUD	AND
7	THE	MONEY	WAS	USED	FOR
7	THE	FLOOR	AND	PLAY	WITH
7	THE	FIRST	FEW	DAYS	AND
7	THE	FIELD	FOR	MORE	THAN
7	TO	TRACC	THEM	DOWN	AND
7	TO	SPEND	ANY	TIME	WITH
7	TO	SHARE	HIS	LIFE	WITH
7	TO	PROUE	HOW	MUCH	THEY
7	TO	PEOPLE	WHO	CNOW	HIM
7	TO	CARUE	OUT	TIME	FOR
7	TO	BLAME	EACH	OTHER	FOR
7	TO	ADMIT	THAT	THERE	ARE
7	OF	PEOPLE	WITH	WHOM	YOU
7	OF	PEOPLE	WHO	CNOW	HOW
7	OF	LIGHT	AND	DARC	AND
7	IT	WOULD	NOT	WORC	WITH
7	IT	WOULD	NOT	TACE	THAT
7	IT	WOULD	NOT	COME	OUT
7	IT	MIGHT	NOT	WORC	OUT
7	IT	GIUES	YOU	SOME	IDEA
7	IT	EASIER	THAN	EUER	FOR
7	IN	WOMEN	WHO	HAUE	HAD
7	IN	WHICH	THEY	WERE	NOT
7	IN	WHICH	SHE	CEPT	HER
7	IN	TOUCH	WITH	YOUR	OWN
7	IN	SPACE	AND	TIME	AND
7	HE	WOULD	SIT	DOWN	WITH
7	HE	WOULD	SIT	DOWN	AND
7	HE	WOULD	NOT	WANT	HER
7	HE	WOULD	NOT	HAUE	PUT
7	HE	WOULD	NOT	HAUE	LET
7	HE	WOULD	NOT	EUEN	LET
7	HE	WIPED	HIS	FACE	WITH
7	HE	SHUTS	HIS	EYES	AND
7	HE	COULD	NOT	TELL	THEM
7	HE	COULD	NOT	TELL	HOW
7	HE	COULD	NOT	REACH	HIS
7	HE	COULD	NOT	HELP	BE(I)NG
7	HE	COULD	NOT	FIND	THEM
7	HE	COULD	NOT	COPE	WITH
7	HE	BARED	HIS	TEETH	AND
7	BE	NOTED	THAT	THERE	WAS
7	BE	APART	FOR	MORE	THAN
6	WE	WOULD	NOT	WANT	OUR
6	WE	WOULD	NOT	HAUE	WON
6	WE	LOUED	EACH	OTHER	AND
6	WE	FOUND	THAT	THERE	ARE
6	WE	FOUND	THAT	MORE	THAN
6	WE	COULD	SIT	DOWN	AND
6	WE	COULD	NOT	TACE	OUR
6	WE	COULD	NOT	FIND	HER
6	WE	COULD	NOT	CEEP	THEM
6	THE	WORDS	THAT	CAME	OUT
6	THE	WOMAN	WHO	LOST	HER
6	THE	WEATHER	WAS	COLD	AND
6	THE	WATER	WAS	COOL	AND
6	THE	WATER	WAS	COLD	AND
6	THE	TABLE	AND	TOOC	HIS
6	THE	STOCC	HAS	MORE	THAN
6	THE	SENSE	THAT	THESE	ARE
6	THE	RISCS	THAT	COME	WITH
6	THE	POINT	THAT	WHEN	YOU
6	THE	PHONE	AND	CALL	THEM
6	THE	PEOPLE	WHO	WERE	NOT
6	THE	PEOPLE	WHO	UOTE	FOR
6	THE	PEOPLE	WHO	LIUE	WITH
6	THE	PEOPLE	WHO	CNOW	YOU
6	THE	PEOPLE	WHO	CNOW	HOW
6	THE	PEOPLE	WHO	CARE	FOR
6	THE	PEOPLE	FOR	WHOM	THEY
6	THE	MAYOR	HAS	SAID	THAT
6	THE	HOUSE	FOR	MORE	THAN
6	THE	FIRST	AND	LAST	DAY
6	THE	FEEL(I)NG	THAT	THERE	ARE
6	THE	COURT	HAS	SAID	THAT
6	THE	BONDS	ARE	PAID	OFF
6	TO	TOUCH	AND	FEEL	AND
6	TO	TERMS	WITH	WHAT	THEY
6	TO	STICC	WITH	WHAT	THEY
6	TO	PEOPLE	WHO	WORC	FOR
6	TO	PEOPLE	WHO	HAUE	NOT
6	TO	PEOPLE	WHO	HAUE	HAD
6	TO	BRUSH	HER	HAIR	AND
6	OF	WHITE	AND	DARC	MEAT
6	OF	PEOPLE	WHO	LIUE	NEAR
6	OF	PEOPLE	WHO	HAUE	THIS
6	OF	PEOPLE	WHO	HAUE	NOT
6	OF	PEOPLE	WHO	FELT	THAT
6	OF	PEOPLE	WHO	CAME	OUT
6	OF	PEOPLE	ARE	SAY(I)NG	THIS
6	OF	PEOPLE	ALL	OUER	THIS
6	OF	LIGHT	AND	DARC	THAT
6	NO	DOUBT	THAT	THERE	WAS
6	IT	WOULD	END	LICE	THIS
6	IT	WOULD	NOT	TURN	OUT
6	IT	WOULD	NOT	HAUE	ANY
6	IT	SHOWS	THAT	THERE	ARE
6	IT	MACES	YOU	FEEL	THAT
6	IT	COULD	NOT	HELP	BUT
6	IS	STILL	TOO	EARLY	FOR
6	IS	RIGHT	AND	WRO(I)NG	AND
6	IS	NEUER	FAR	FROM	HIS
6	IS	LOOC(I)NG	FOR	MORE	THAN
6	IN	WHICH	THEY	WORC	AND
6	IN	WHICH	THEY	SAID	THAT
6	IN	WHICH	SHE	SAYS	THAT
6	IN	JAPAN	FOR	MORE	THAN
6	HE	WOULD	NOT	WANT	YOU
6	HE	WOULD	NOT	UOTE	FOR
6	HE	WOULD	NOT	TELL	YOU
6	HE	WOULD	NOT	PLAY	FOR
6	HE	WOULD	NOT	LEAUE	HIS
6	HE	WOULD	NOT	HURT	HER
6	HE	WOULD	NOT	HAUE	THIS
6	HE	WIPED	HIS	EYES	WITH
6	HE	WAUES	HIS	ARMS	AND
6	HE	HOLDS	HIS	HAND	OUT
6	HE	FOUND	THAT	THERE	WAS
6	HE	FOLDS	HIS	ARMS	AND
6	HE	DRANC	TOO	MUCH	AND
6	HE	COULD	NOT	RULE	OUT
6	HE	COULD	NOT	MOUE	HIS
6	HE	COULD	NOT	COPE	WITH
6	HE	COULD	NOT	TURN	HIS
6	HE	COULD	NOT	STOP	HIS
6	HE	COULD	NOT	REACH	HER
6	HE	COULD	NOT	MEET	HER
6	HE	COULD	NOT	MACE	THAT
6	HE	COULD	NOT	HELP	HIS
6	HE	COULD	NOT	HELP	HER
6	BY	PEOPLE	WHO	WERE	NOT
6	BY	LETT(I)NG	THEM	CNOW	THAT
6	BE	PEOPLE	OUT	THERE	WHO
6	AS	THOUGH	THEY	WERE	OLD
6	AS	THOUGH	THEY	WERE	HER
6	AS	THOUGH	THEY	WERE	NOT
6	AS	THOUGH	SHE	CNEW	SHE
