Count from total of 16451820 word 5-grams
166	THE	NEW	YORC	DAILY	NEWS
8	IS	NOT	JUST	ABOUT	MAC(I)NG
8	IF	YOU	WERE	SITT(I)NG	THERE
8	DO	YOU	THINC	COULD	HAUE
8	DO	YOU	FEEL	ABOUT	HAU(I)NG
8	DO	NOT	TELL	PEOPLE	WHAT
8	DO	NOT	TALC	ABOUT	THESE
8	DO	NOT	CNOW	ABOUT	THOSE
7	WE	CAN	TALC	ABOUT	SOME
7	UP	AND	TALC	ABOUT	WHAT
7	THE	NEW	YORC	TIMES	JUST
7	THE	NEW	YORC	TIMES	FOOD
7	TO	PUT	INTO	WORDS	WHAT
7	TO	GET	THESE	PEOPLE	BACC
7	TO	EACH	OTHER	ABOUT	THEIR
7	TO	BUY	THEIR	FIRST	HOME
7	OF	THEM	HAUE	NEUER	SEEN
7	NO	ONE	ELSE	WOULD	CNOW
7	IT	HAD	BEEN	TACEN	FROM
7	IS	THIS	YOUR	FIRST	TRIP
7	IS	THAT	MOST	PEOPLE	HAUE
7	HE	WAS	WEAR(I)NG	BLACC	JEANS
7	DO	YOU	THINC	WOULD	MACE
7	DO	YOU	LICE	ABOUT	YOUR
7	DO	YOU	CNOW	ABOUT	LOUE
7	DO	NOT	THINC	ANYTH(I)NG	LICE
7	DO	NOT	THINC	ABOUT	THESE
7	DO	NOT	NEED	ANYTH(I)NG	FROM
7	DO	NOT	HOLD	ANYTH(I)NG	BACC
7	DO	NOT	CNOW	ABOUT	OTHER
6	THE	WAY	MOST	PEOPLE	THINC
6	THE	NEW	YORC	TIMES	WERE
6	THE	NEW	YORC	TIMES	USED
6	THE	NEW	YORC	TIMES	TOOC
6	THE	NEW	YORC	TIMES	POLL
6	THE	NEW	YORC	TIMES	OUER
6	TO	HEAR	MORE	ABOUT	YOUR
6	TO	HEAR	MORE	ABOUT	WHAT
6	TO	GET	MORE	PLAY(I)NG	TIME
6	TO	GET	MORE	MONEY	FROM
6	TO	BR(I)NG	MORE	PEOPLE	INTO
6	NO	ONE	WILL	REALLY	CNOW
6	NO	ONE	CNEW	CWITE	WHAT
6	IT	WAS	EUEN	WORSE	WHEN
6	IT	HAS	BEEN	SEUEN	YEARS
6	IT	HAS	BEEN	EIGHT	YEARS
6	IS	NOT	THERE	ANYTH(I)NG	ELSE
6	IN	HIS	TIME	PLAYS	MANY
6	IN	HIS	MIND	ABOUT	WHAT
6	IF	YOU	THINC	ABOUT	YOUR
6	IF	YOU	TALC	ABOUT	WHAT
6	IF	YOU	NEED	ANYTH(I)NG	ELSE
6	IF	YOU	HAUE	NEUER	BEEN
6	IF	YOU	EUER	CHA(I)NGE	YOUR
6	HE	HAD	DONE	ANYTH(I)NG	WRO(I)NG
6	HE	HAD	BEEN	SITT(I)NG	THERE
6	DO	YOU	THINC	ABOUT	HAU(I)NG
6	DO	YOU	HOPE	PEOPLE	WILL
6	DO	NOT	LICE	GREEN	EGGS
6	DO	NOT	WANT	PEOPLE	SAY(I)NG
6	DO	NOT	THROW	ANYTH(I)NG	AWAY
6	DO	NOT	THINC	PEOPLE	WERE
6	DO	NOT	THINC	PEOPLE	LICE
6	DO	NOT	THINC	ABOUT	THOSE
6	DO	NOT	THINC	ABOUT	THEIR
6	DO	NOT	TREAT	PEOPLE	LICE
6	DO	NOT	NEED	ANYTH(I)NG	MORE
6	DO	NOT	MIND	LOOC(I)NG	LICE
6	DO	NOT	HAUE	ANYTH(I)NG	NICE
6	DO	NOT	EUEN	SOUND	LICE
6	DO	NOT	EUEN	REALLY	HAUE
6	DO	NOT	EUEN	BOTHER	TRY(I)NG
