Count from total of 16451820 word 5-grams
82	DOUBT	IN	YOUR	MIND	THAT
10	BALLS	OF	YOUR	FEET	AND
9	WHICH	IN	THOSE	DAYS	WAS
9	UNTIL	THE	UERY	LAST	DAY
9	SPENT	THE	MOST	TIME	WITH
9	SINCE	THE	BOOC	CAME	OUT
9	PROUD	OF	THEIR	WORC	AND
9	PRIDE	IN	THEIR	WORC	AND
9	PLACE	TO	CALL	THEIR	OWN
9	MIGHT	AS	WELL	FIND	OUT
9	FRONT	OF	YOUR	FACE	AND
9	DROUE	IN	THREE	RUNS	AND
9	AFTER	THE	BOMB	WENT	OFF
8	WILL(I)NG	TO	RISC	THEIR	OWN
8	WHERE	WE	CAME	FROM	AND
8	TILT(I)NG	IT	AWAY	FROM	YOU
8	TELL(I)NG	THE	TRUTH	WHEN	SHE
8	SORRY	TO	HAUE	CEPT	YOU
8	SLAMS	THE	DOOR	SHUT	AND
8	PEOPLE	TO	FEEL	LICE	THEY
8	COLOR	OF	THEIR	SCIN	AND
8	BEGAN	TO	MACE	THEIR	WAY
8	ABOUT	THE	SAME	TIME	THEY
8	ABOUT	THE	LAST	TIME	SHE
7	WOULD	BE	JUST	LICE	HIM
7	WOMEN	TO	MACE	THEIR	OWN
7	WHICH	IN	TURN	MEANS	THAT
7	WHERE	WE	HAUE	BEEN	AND
7	WANTS	TO	MACE	SURE	HIS
7	WANTS	TO	COME	BACC	AND
7	WANT(I)NG	TO	MACE	SURE	THAT
7	THANCS	SO	UERY	MUCH	FOR
7	TRIED	TO	MACE	THEIR	WAY
7	TRIED	TO	FIND	SOME	WAY
7	STACE	IS	NOTH(I)NG	LESS	THAN
7	SPEND	THE	MOST	TIME	WITH
7	SEEMS	TO	HAUE	MORE	THAN
7	SEEMS	TO	HAUE	GONE	OUT
7	RIGHT	TO	CNOW	WHAT	WAS
7	POINT	IN	TIME	WHEN	YOU
7	PEOPLE	IN	YOUR	LIFE	WHO
7	MONEY	TO	MACE	SURE	THAT
7	MIGHT	BE	NOTH(I)NG	MORE	THAN
7	LE(I)NGTHS	TO	MACE	SURE	THAT
7	HOUSE	TO	MACE	SURE	THAT
7	DROUE	IN	THREE	RUNS	WITH
7	COULD	HE	HAUE	DONE	THAT
7	COULD	DO	NOTH(I)NG	MORE	THAN
7	BEGAN	TO	ROLL	DOWN	HER
7	APPEAR	TO	HAUE	BEEN	ANY
7	AGAIN	TO	MACE	SURE	THAT
6	WOULD	IT	HAUE	BEEN	FOR
6	WOULD	BE	NOTH(I)NG	WRO(I)NG	WITH
6	WOULD	BE	JUST	FINE	WITH
6	WIPES	THE	TEARS	FROM	HER
6	WIPED	THE	TEARS	FROM	HIS
6	WILL(I)NG	TO	WORC	HARD	AND
6	WHICH	IS	ALSO	USED	FOR
6	WHICH	IN	TURN	WILL	LEAD
6	WHERE	HE	WILL	MEET	WITH
6	WANTS	TO	MACE	SURE	SHE
6	UALUE	OF	HARD	WORC	AND
6	TRIED	TO	PULL	AWAY	BUT
6	TEST(I)NG	TO	MACE	SURE	THAT
6	SHARE	THE	GOOD	NEWS	WITH
6	SEEMS	TO	HAUE	BEEN	HIS
6	RIGHT	TO	CNOW	WHAT	YOU
6	PEOPLE	TO	COME	HERE	AND
6	PEOPLE	TO	COME	AWAY	WITH
6	OUGHT	TO	STEP	BACC	AND
6	ORDER	TO	CEEP	PACE	WITH
6	MOUED	TO	MACE	ROOM	FOR
6	MIGHT	BE	JUST	WHAT	YOU
6	LOOCS	SO	MUCH	LICE	HER
6	LEAGUE	IN	HOME	RUNS	AND
6	GETT(I)NG	THE	CIDS	READY	FOR
6	FRONT	OF	YOUR	EYES	AND
6	BROCE	THE	GAME	OPEN	WITH
6	BEGAN	TO	PACE	BACC	AND
6	BEGAN	TO	LOOC	MORE	AND
6	AIMED	AT	NOTH(I)NG	LESS	THAN
6	AFTER	SO	MANY	YEARS	AND
6	ABOUT	THE	ONLY	TIME	YOU
