Count from total of 16451820 word 5-grams
179	MAY	BE	EDITED	FOR	LE(I)NGTH
10	GO(I)NG	TO	HAPPEN	OUT	THERE
10	GO(I)NG	TO	HAPPEN	AND	WHAT
10	GO(I)NG	TO	FIGURE	OUT	WHAT
10	BUT	OF	COURSE	YOU	CNOW
10	AND	IT	CHA(I)NGED	HIS	LIFE
10	AND	HE	OPENED	HIS	EYES
9	THEN	HE	TURNED	HIS	BACC
9	THEN	HE	TURNED	AND	LEFT
9	THAT	WE	SHOULD	NOT	TACE
9	THAT	THE	SYSTEM	HAS	BEEN
9	THAT	IS	UNLICE	ANY	OTHER
9	NOT	TO	EXPECT	TOO	MUCH
9	LO(I)NG	TO	FIGURE	OUT	WHAT
9	HAS	TO	FIGURE	OUT	WHAT
9	HAD	AN	AFFAIR	WITH	YOUR
9	GO(I)NG	TO	HAPPEN	ANY	TIME
9	BUT	NO	MENTION	WAS	MADE
9	AND	WE	SHOULD	NOT	HAUE
9	AND	THE	MIDDLE	EAST	PEACE
9	AND	THE	MIDDLE	EAST	HAUE
9	AND	OF	COURSE	YOU	HAUE
9	AND	NO	MATTER	HOW	GOOD
9	AND	IT	ALWAYS	HAS	BEEN
9	AND	HE	TURNED	HIS	FACE
9	ALL	THE	LICWID	HAS	BEEN
9	ALL	THE	CHA(I)NGES	THAT	HAUE
8	THEN	IT	STARTS	ALL	OUER
8	THEN	HE	SMILED	AND	SAID
8	THAT	THE	FAMILY	HAD	BEEN
8	THAT	IT	SHOULD	NOT	HAUE
8	THAT	HE	THOUGHT	THEY	WERE
8	SEE	IF	ANYONE	HAD	HEARD
8	OUT	OF	STOCCS	AND	INTO
8	OFF	THE	GROUND	AND	INTO
8	HIM	TO	PRISON	FOR	LIFE
8	EASY	TO	FIGURE	OUT	WHAT
8	CAN	BE	WHOEUER	YOU	WANT
8	CAN	BE	BOUGHT	FOR	LESS
8	BUT	IT	TURNED	OUT	THERE
8	AND	TO	FIGURE	OUT	WHAT
8	NOT	BE	CAUGHT	DEAD	WEAR(I)NG
7	YOU	OR	SOMEONE	YOU	LOUE
7	WITH	THE	RESULT	THAT	THERE
7	WAY	IT	ALWAYS	DID	WHEN
7	WAY	HE	ALWAYS	DID	WHEN
7	THAT	HE	CHA(I)NGED	HIS	MIND
7	THAN	AT	ALMOST	ANY	TIME
7	PUT	THE	TOILET	SEAT	DOWN
7	OUT	THE	WINDOW	AND	SEE(I)NG
7	OFF	THE	STREET	AND	INTO
7	HAD	TO	DECIDE	HOW	MUCH
7	GO(I)NG	TO	HAPPEN	WITH	THESE
7	FOR	THE	COUPLE	AND	THEIR
7	CAN	BE	TREATED	WITH	REST
7	BUT	WE	SHOULD	NOT	HAUE
7	BUT	THE	STACES	ARE	HIGH
7	BUT	IF	SOMETH(I)NG	GOES	WRO(I)NG
7	ARE	THE	SECOND	AND	THIRD
7	ARE	IN	ACCORD	WITH	THOSE
7	AND	WE	THOUGHT	THEY	WERE
7	AND	OF	COURSE	THEY	HAUE
7	AND	IT	TURNED	OUT	THERE
7	AND	IT	SHOULD	NOT	HAUE
6	WITH	THE	RESULT	THAT	SOME
6	WHO	IS	SLEEP(I)NG	WITH	WHOM
6	WAR	ON	TERROR	AND	WHAT
6	TH(I)NGS	HE	SHOULD	NOT	HAUE
6	THIS	IS	SOMETH(I)NG	YOU	NEED
6	THEN	HE	SHOULD	NOT	HAUE
6	THEN	HE	OPENED	HIS	MOUTH
6	THAT	THE	SENATE	HAS	BEEN
6	THAT	THE	SECOND	AND	THIRD
6	THAT	THE	BUDGET	HAS	BEEN
6	THAT	THE	AGENCY	HAS	BEEN
6	THAT	NO	MATTER	WHO	WINS
6	THAT	MY	BROTHER	HAD	BEEN
6	THAT	HE	TURNED	HIS	BACC
6	TRY	TO	FIGURE	OUT	SOME
6	OUT	THE	WINDOW	AND	DOWN
6	NOT	TO	MENTION	ALL	THOSE
6	MEN	ON	SECOND	AND	THIRD
6	LOT	OF	UOTERS	OUT	THERE
6	LOT	OF	TALENT	OUT	THERE
6	LOT	OF	DAMAGE	HAS	BEEN
6	LOT	OF	CREDIT	FOR	WHAT
6	GO(I)NG	TO	HAPPEN	THIS	WEEC
6	GO(I)NG	TO	HAPPEN	ALL	OUER
6	FOR	MY	SPOUSE	AND	OTHER
6	BUT	THE	RESULT	HAS	BEEN
6	BUT	THE	DAMAGE	HAS	BEEN
6	BOTH	THE	SECOND	AND	THIRD
6	AND	WE	CISSED	EACH	OTHER
6	AND	THE	EFFECT	THEY	HAUE
6	AND	IT	SHOULD	NOT	TACE
6	AND	HE	OPENED	HIS	MOUTH
6	AND	HE	LIFTED	HIS	HAND
6	AND	HE	ALWAYS	HAS	BEEN
6	ADD	THE	GARLIC	AND	G(I)NGER
