Count from total of 16451820 word 5-grams
134	EARLY	LOOC	AT	WHATS	GO(I)NG
7	HAUE	BEEN	THE	REASON	FOR
7	FROM	LEFT	TO	RIGHT	ARE
7	FELT	LICE	THE	WORLD	WAS
7	DOWN	FROM	THE	WAGON	AND
7	DOWN	FROM	THE	SHELF	AND
7	DOUE	INTO	THE	WATER	AND
7	COM(I)NG	BACC	TO	HAUNT	HIM
7	CNOW	WHAT	IT	WOULD	MEAN
7	AWAY	FROM	THE	WOMAN	AND
6	YOUR	BODY	IS	TELL(I)NG	YOU
6	WILL	SHOW	THE	WORLD	THAT
6	WILL	MACE	IT	TOUGH	FOR
6	WHAT	CIND	OF	SHAPE	THEY
6	WHAT	CIND	OF	SENSE	DOES
6	WHAT	CIND	OF	MONEY	ARE
6	WENT	INTO	THE	WOODS	AND
6	WENT	INTO	THE	WATER	AND
6	WENT	INTO	THE	STUDIO	AND
6	UERY	CLEAR	IN	STAT(I)NG	THAT
6	THERE	WERE	NO	PLANS	FOR
6	THEIR	HEART	OF	HEARTS	THAT
6	TAC(I)NG	CARE	OF	PEOPLE	WITH
6	ONLY	BEEN	IN	PLACE	FOR
6	MUST	ALSO	BE	AWARE	THAT
6	MUCH	MORE	AT	STACE	THAN
6	MIND	WHEN	HE	WROTE	HIS
6	MEANS	COM(I)NG	TO	TERMS	WITH
6	MANY	YEARS	OF	WORC(I)NG	WITH
6	JUST	TRY(I)NG	TO	SCARE	YOU
6	HAUE	MORE	TO	OFFER	THAN
6	HAUE	MADE	IT	EASIER	THAN
6	HAUE	LOTS	OF	PEOPLE	WHO
6	HAUE	LOTS	OF	MONEY	AND
6	FREE	FLOW	OF	GOODS	AND
6	FELT	CIND	OF	SORRY	FOR
6	DOWN	FROM	THE	TRUCC	AND
6	DOWN	FROM	THE	STOOL	AND
6	DOWN	FROM	THE	HILLS	AND
6	COM(I)NG	BACC	TO	HAUNT	YOU
6	CAME	INTO	THE	STUDIO	AND
6	CAME	INTO	THE	SEASON	WITH
6	BACC	ONTO	THE	TABLE	AND
6	BACC	INTO	THE	WATER	WITH
6	BACC	INTO	THE	TRUCC	AND
6	BACC	INTO	THE	HOUSE	FOR
6	AWAY	FROM	THE	WORLD	AND
6	AWAY	FROM	THE	STOUE	AND
6	AWAY	FROM	THE	PARC(I)NG	LOT
6	AWAY	FROM	THE	FENCE	AND
6	AWAY	FROM	MY	HOUSE	AND
