Count from total of 16451820 word 5-grams
248	WITH	ALL	DUE	RESPECT	TO
14	SHE	DID	NOT	RESPOND	TO
14	HOW	DOES	THIS	COMPARE	TO
14	HOW	DID	YOU	RESPOND	TO
14	AND	SHE	WAS	DRESSED	IN
13	THEY	ARE	NOT	LIMITED	TO
13	THEY	ARE	NOT	CAPABLE	OF
13	CAN	NOT	BR(I)NG	HERSELF	TO
13	AND	YOU	CAN	IMAGINE	THE
13	AND	THEN	THEY	STARTED	TO
13	AND	THEN	SHE	STARTED	TO
12	WHO	ARE	NOT	COUERED	BY
12	WHO	ARE	NOT	ALLOWED	TO
12	THAT	THEY	ARE	MEMBERS	OF
12	THAT	THEY	ARE	BEGINN(I)NG	TO
12	THAT	THEY	ARE	ALLOWED	TO
12	SHE	AND	HER	HUSBAND	OF
12	FEW	AND	FAR	BETWEEN	IN
12	BUT	THEY	ARE	BEGINN(I)NG	TO
12	AND	THAT	WAS	BECAUSE	OF
12	AND	DID	NOT	RESPOND	TO
11	YOU	ARE	NOT	ALLOWED	TO
11	WHO	DID	NOT	RECEIUE	THE
11	THIS	DOES	NOT	INCLUDE	THE
11	THAT	WAS	NOT	EXACTLY	THE
11	SHE	HAD	NOT	PLANNED	TO
11	SHE	DID	NOT	RESPOND	TO
11	SHE	DID	NOT	DESERUE	TO
11	BUT	SHE	WAS	BEGINN(I)NG	TO
11	ARE	NOT	YOU	ASHAMED	OF
10	YOU	DID	NOT	BELIEUE	IT
10	THIS	AREA	HAS	FOCUSED	ON
10	THEY	DID	NOT	RECEIUE	THE
10	THEY	DID	NOT	BELIEUE	THE
10	THEY	DID	NOT	APPROUE	OF
10	THAT	THIS	WAS	HAPPEN(I)NG	TO
10	THAT	SHE	HAD	DECIDED	TO
10	SHE	HAD	NOT	PLANNED	ON
10	SHE	DOES	NOT	APPROUE	OF
10	HER	AND	HER	HUSBAND	TO
10	DID	YOU	GET	STARTED	IN
10	BUT	WAS	NOT	ALLOWED	TO
9	YOU	DID	NOT	BELIEUE	ME
9	YOU	CAN	NOT	IMAGINE	THE
9	THEY	DID	NOT	SUCCEED	IN
9	THEY	DID	NOT	ATTEMPT	TO
9	THAT	THEY	ARE	UICTIMS	OF
9	THAT	SHE	HAD	MANAGED	TO
9	THAT	DOES	NOT	CONFORM	TO
9	THAT	DOES	NOT	BELIEUE	IN
9	SHE	WAS	NOT	MARRIED	TO
9	SHE	DOES	NOT	BELIEUE	IN
9	HOW	DOES	ONE	EXPLAIN	THE
9	DOES	NOT	SEE	HIMSELF	AS
9	BUT	THEN	SHE	STARTED	TO
9	AND	THEY	ARE	SUBJECT	TO
9	AND	HOW	THAT	RELATES	TO
9	AND	ALL	THAT	REMAINS	IS
8	WHO	DID	NOT	DESERUE	TO
8	WHO	DID	NOT	DESERUE	IT
8	THIS	WAS	NOT	EXACTLY	THE
8	THEY	DID	NOT	BELIEUE	THE
8	THEY	DID	NOT	BELIEUE	IN
8	THEY	DID	NOT	DESERUE	TO
8	THAT	YOU	ARE	REFERR(I)NG	TO
8	THAT	THEY	HAD	PLANNED	TO
8	THAT	THEY	ARE	RELATED	TO
8	THAT	SHE	WAS	REFERR(I)NG	TO
8	THAT	HAS	ITS	ORIGINS	IN
8	THAT	DOES	NOT	RECWIRE	THE
8	THAT	DID	NOT	RESPOND	TO
8	THAT	DID	NOT	INCLUDE	THE
8	THAT	ARE	NOT	PRESENT	IN
8	SHE	DOES	NOT	BELIEUE	ME
8	SHE	DOES	NOT	BELIEUE	IT
8	SHE	DID	NOT	ATTEMPT	TO
8	HOW	SHE	HAD	MANAGED	TO
8	HAD	NOT	YET	ENTERED	THE
8	GAY	MEN	AND	LESBIONS	TO
8	DID	YOU	SEE	ANYBODY	IN
8	DID	NOT	GET	MARRIED	IN
8	DID	NOT	GET	EUERYTH(I)NG	HE
8	AND	THEY	ARE	CAPABLE	OF
8	AND	THAT	WAS	BECAUSE	THE
8	AND	CAN	YOU	IMAGINE	THE
7	YOU	DID	NOT	BELIEUE	THE
7	WHO	ARE	NOT	TRAINED	TO
7	TH(I)NGS	THAT	YOU	BELIEUE	IN
7	THIS	DOES	NOT	EXPLAIN	THE
7	THEY	DID	NOT	RESPOND	TO
7	THEY	ARE	NOT	RELATED	TO
7	THEY	ARE	NOT	EXACTLY	THE
7	THAT	YOU	ARE	CAPABLE	OF
7	THAT	THEY	ARE	OPPOSED	TO
7	THAT	HAD	ITS	ORIGINS	IN
7	THAT	DOES	NOT	RESPOND	TO
7	THAT	DOES	NOT	RESPOND	TO
7	THAT	DID	NOT	INCLUDE	THE
7	SHE	DOES	NOT	BELIEUE	THE
7	SHE	DID	NOT	BELIEUE	THE
7	SHE	DID	NOT	BELIEUE	THE
7	SHE	AND	HER	HUSBAND	DO
7	SEE	HOW	THEY	RESPOND	TO
7	SAY	THAT	THEY	BELIEUE	THE
7	HOW	THEY	ARE	RELATED	TO
7	HOW	DID	THEY	RESPOND	TO
7	HOW	ARE	YOU	ADJUST(I)NG	TO
7	HAD	NOT	YET	MANAGED	TO
7	GOT	OUT	AND	SLAMMED	THE
7	END	DOES	NOT	JUSTIFY	THE
7	DOES	NOT	SEE	HERSELF	AS
7	CUT	OFF	AND	DISCARD	THE
7	BUT	THAT	WAS	BECAUSE	OF
7	BUT	DID	NOT	SUCCEED	IN
7	BUT	DID	NOT	ADDRESS	THE
7	ARE	YOU	ALL	DRESSED	UP
7	ARE	NOT	BE(I)NG	ALLOWED	TO
7	AND	WAS	NOT	ALLOWED	TO
7	AND	THEN	SHE	DECIDED	TO
7	AND	SHE	WAS	BEGINN(I)NG	TO
7	AND	DOES	NOT	INCLUDE	THE
7	AND	DID	NOT	ATTEMPT	TO
7	AND	ARE	NOT	ALLOWED	TO
6	YOU	MAY	NOT	BELIEUE	IN
6	YOU	CAN	NOT	BELIEUE	THE
6	WHO	WAS	NOT	RELATED	TO
6	WHO	DOES	NOT	BELIEUE	IT
6	WHO	DID	NOT	SUPPORT	THE
6	WHO	ARE	NOT	COUERED	BY
6	WAS	DEAD	SET	AGAINST	THE
6	WAS	ALL	BUT	CERTAIN	TO
6	THIS	DID	NOT	PREUENT	THE
6	THEY	HAD	NOT	PLANNED	ON
6	THEY	HAD	NOT	BOTHERED	TO
6	THEY	DID	NOT	SUPPORT	THE
6	THEY	DID	NOT	RESPOND	TO
6	THEY	DID	NOT	INCLUDE	THE
6	THEY	DID	NOT	DESERUE	IT
6	THEY	CAN	NOT	CONTROL	THE
6	THEY	ARE	NOW	BEGINN(I)NG	TO
6	THEY	ARE	NOT	OPPOSED	TO
6	THEY	ARE	NOT	MEMBERS	OF
6	THAT	WAS	PUT	TOGETHER	BY
6	THAT	WAS	NOT	RELATED	TO
6	THAT	THEY	CAN	CONTROL	THE
6	THAT	THEY	ARE	UNWILL(I)NG	TO
6	THAT	THEY	ARE	UNAWARE	OF
6	THAT	SHE	WAS	MARRIED	TO
6	THAT	SHE	WAS	BEGINN(I)NG	TO
6	THAT	SHE	WAS	ALLOWED	TO
6	THAT	DOES	NOT	SUPPORT	THE
6	THAT	DOES	NOT	REFLECT	THE
6	THAT	DOES	NOT	CONCERN	ME
6	THAT	DID	NOT	PREUENT	THE
6	THAT	ARE	NOT	MEMBERS	OF
6	THAT	ARE	NOT	COUERED	IN
6	THAT	ARE	NOT	COUERED	BY
6	SHE	WAS	NOT	CAPABLE	OF
6	SHE	WAS	NOT	REFERR(I)NG	TO
6	SHE	HAD	NOT	COUNTED	ON
6	SHE	HAD	NOT	NOTICED	IT
6	SHE	HAD	NOT	BROUGHT	THE
6	SAY	THEY	ARE	OPPOSED	TO
6	MAN	WHO	WAS	ACCUSED	OF
6	HIS	HEAD	AND	GLANCED	AT
6	HAS	THUS	FAR	REFUSED	TO
6	DIE	EACH	YEAR	BECAUSE	OF
6	DEAL	WITH	ALL	ASPECTS	OF
6	CAN	SAY	FOR	CERTAIN	IS
6	BUT	THEY	ARE	SUBJECT	TO
6	BUT	THAT	WAS	BECAUSE	THE
6	BUT	DOES	NOT	PROUIDE	THE
6	ARE	ALL	THAT	REMAINS	OF
6	AND	THEY	ARE	ALLOWED	TO
6	AND	THAT	WAS	BECAUSE	HE
6	AND	SHE	WAS	THRILLED	TO
6	AND	HOW	THEY	RELATED	TO
6	AND	HOW	THAT	AFFECTS	THE
6	AND	DOES	NOT	BELIEUE	IN
6	AND	CAN	YOU	BELIEUE	IT
