Count from total of 16451820 word 5-grams
54	IN	RESPONSE	TO	CHA(I)NGES	IN
10	IS	EXPECTED	TO	REMAIN	IN
10	IS	EXPECTED	TO	ARRIUE	IN
9	THE	POTENTIOL	TO	BECOME	THE
9	THE	ATTENTION	TO	DETAIL	IS
9	TO	MINIMISE	THE	IMPACT	ON
9	TO	ESTIMATE	THE	EXTENT	OF
9	TO	ESTIMATE	THE	EFFECT	OF
9	TO	CONTINUE	TO	INUEST	IN
9	OF	THOUSANDS	OF	TROOPS	TO
9	IS	UNLICELY	TO	RESULT	IN
9	IS	EXPECTED	TO	ARRIUE	AT
9	IS	DESIGNED	TO	REDUCE	THE
8	WE	EXAMINED	THE	EXTENT	TO
8	THE	SECWENCE	OF	PHASES	THE
8	THE	POTENTIOL	TO	RESULT	IN
8	THE	POTENTIOL	TO	AFFECT	THE
8	TO	WITHSTAND	THE	IMPACT	OF
8	TO	IDENTIFY	THE	EFFECT	OF
8	TO	EUALUATE	THE	EXTENT	OF
8	TO	CONTINUE	TO	REDUCE	THE
8	TO	CONSIDER	THE	EXTENT	TO
8	OF	THOUSANDS	OF	TROOPS	ON
8	BE	PREPARED	TO	ACCEPT	THE
7	WE	EXAMINED	THE	EFFECT	OF
7	THE	EMPHASIS	IS	PLACED	ON
7	TO	RESTRICT	THE	AMOUNT	OF
7	TO	REGULATE	THE	AMOUNT	OF
7	TO	MAXIMISE	THE	IMPACT	OF
7	TO	DISCOUER	THE	SECRET	OF
7	IT	CONJURES	UP	IMAGES	OF
7	IS	SUPPOSED	TO	HAPPEN	TO
7	IS	RECWIRED	TO	ASSESS	THE
7	IS	INTENDED	TO	REDUCE	THE
7	IS	EXPECTED	TO	REDUCE	THE
7	IS	DESIGNED	TO	ASSESS	THE
7	DO	WHATEUER	IS	NEEDED	TO
7	BE	ECWIPPED	TO	HANDLE	THE
6	WE	CONTINUE	TO	LISTEN	TO
6	THE	UNIUERSE	TO	EXPAND	AT
6	THE	TREATMENT	OF	CHOICE	IS
6	THE	SECWENCE	OF	EUENTS	AS
6	THE	POTENTIOL	TO	REDUCE	THE
6	THE	POTENTIOL	TO	BECOME	AN
6	THE	MIRACLES	AT	LITTLE	NO
6	THE	DIRECTION	OF	FORMER	US
6	TO	WITHSTAND	THE	STRESS	OF
6	TO	PRESERUE	THE	RIGHTS	OF
6	TO	PRESERUE	THE	MEMORY	OF
6	TO	PINPOINT	THE	ORIGIN	OF
6	TO	MITIGATE	THE	IMPACT	OF
6	TO	MINIMISE	THE	DAMAGE	TO
6	TO	IDENTIFY	THE	ORIGIN	OF
6	TO	IDENTIFY	THE	EXTENT	OF
6	TO	DISCOUER	THE	EXTENT	OF
6	TO	DISCLOSE	THE	NUMBER	OF
6	TO	DESCRIBE	THE	IMPACT	OF
6	TO	DESCRIBE	THE	EFFECT	OF
6	TO	DESCRIBE	IN	DETAIL	THE
6	TO	CONTINUE	TO	FOLLOW	THE
6	TO	CONSIDER	THE	MERITS	OF
6	OF	THOUSANDS	OF	TROOPS	IN
6	OF	PROTECT(I)NG	THE	RIGHTS	OF
6	IT	POSSIBLE	TO	REDUCE	THE
6	IS	EXPECTED	TO	FOLLOW	THE
6	IS	DESTINED	TO	BECOME	THE
6	HE	PROPOSED	THE	CREATION	OF
6	BE	POSSIBLE	TO	REDUCE	THE
6	BE	EXPECTED	TO	FOLLOW	THE
